SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
548.0,25.8645,87.1449,10.0,1500.0,54889.8561,67.5193,1.0526,1.8788
556.0,3.86,21.21,10.0,3.0,3.0,71.1038,0.9955,0.9296
557.0,5.43,29.54,13.0,3.0,3.0,70.8699,0.9996,0.9918
379.0,25.8626,87.1779,19.0,750.0,54846.0387,67.5152,1.0526,1.8786
380.0,25.8631,87.1728,18.0,1200.0,54865.1724,67.5156,1.0526,1.8786
1172.0,25.8829,87.0576,10.0,24196.0,55772.8392,67.5169,1.0527,1.8798
828.0,2.0,27.88,10.0,750.0,430.0,71.3135,0.9915,0.8759
830.0,2.0,26.63,11.0,3.0,3.0,71.3215,0.9914,0.8734
829.0,2.0,28.29,10.0,3.0,3.0,71.3158,0.9915,0.8753
831.0,2.0,30.79,40.0,1500.0,750.0,71.2852,0.9916,0.8794
767.0,25.8225,88.1137,300.0,1500.0,54418.1596,67.384,1.0521,1.8716
496.0,2.0,29.54,14.0,930.0,230.0,71.3073,0.9915,0.8772
497.0,2.0,31.63,11.0,2400.0,1500.0,71.2895,0.9917,0.8827
695.0,25.38,44.74,26.0,210.0,210.0,68.2473,1.0474,1.6792
643.0,23.28,50.34,10.0,43.0,43.0,68.5048,1.0427,1.6151
565.0,2.0,24.96,29.0,3.0,3.0,71.319,0.9913,0.8711
918.0,2.57,27.88,13.0,3.0,3.0,71.2428,0.9928,0.8939
423.0,16.98,29.04,30.0,240.0,240.0,69.3807,1.0268,1.3791
1668.0,23.28,35.7,18.0,150.0,75.0,68.5555,1.042,1.5981
964.0,27.9,34.75,10.0,23.0,23.0,67.9711,1.0529,1.7521
965.0,19.98,26.66,12.0,210.0,120.0,69.0149,1.0338,1.4771
845.0,104.11,198.46,56.0,2400.0,2400.0,57.5445,1.2404,4.5037
844.0,60.72,134.85,18.0,2400.0,2400.0,63.3636,1.1351,2.9747
843.0,27.12,35.82,16.0,2400.0,1100.0,68.0548,1.0511,1.7295
842.0,408.0,588.7,10.0,2400.0,1100.0,17.1609,1.9756,15.1511
1158.0,25.8829,87.0576,10.0,24196.0,55772.8392,67.5169,1.0527,1.8798
535.0,6.2,23.41,10.0,24196.0,24196.0,70.576,1.002,1.0681
536.0,4.02,38.18,10.0,1439.0,52.0,71.0198,0.9967,0.9546
537.0,4.46,32.97,10.0,1725.0,235.0,70.9813,0.9975,0.9638
889.0,2.0,29.13,10.0,3.0,3.0,71.3126,0.9915,0.8763
890.0,2.0,28.71,10.0,3.0,3.0,71.3142,0.9915,0.8758
891.0,2.0,30.38,10.0,3.0,3.0,71.3079,0.9916,0.8778
1161.0,2.0,31.63,10.0,230.0,3.0,71.3033,0.9916,0.8792
890.0,2.0,25.79,10.0,40.0,3.0,71.3251,0.9913,0.8725
853.0,2.0,43.71,10.0,430.0,150.0,71.2568,0.9922,0.8935
854.0,2.0,27.04,10.0,90.0,40.0,71.3201,0.9914,0.874
856.0,2.0,31.21,10.0,140.0,90.0,71.3041,0.9916,0.8789
852.0,2.0,33.29,10.0,3.0,3.0,71.297,0.9917,0.8811
855.0,2.0,29.96,10.0,3.0,3.0,71.3095,0.9915,0.8773
1169.0,25.8634,87.1498,10.0,218.0,54839.9802,67.5195,1.0526,1.8788
1130.0,9.2,56.82,92.8,24196.0,15531.0,76.0,1.012,1.0
568.0,2.0,10.0,13.2,288.0,52.0,71.3823,0.9906,0.8542
567.0,2.0,10.0,15.2,3.0,3.0,71.3817,0.9906,0.8541
569.0,2.0,10.0,35.4,3.0,3.0,71.3718,0.9906,0.8537
