SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
829,0.0,0.0023,0.0,0.0,0.0,0.4415,0.0,0.0
831,0.0,0.0026,0.0005,0.0,0.0,0.4238,0.0,0.0
767,0.0149,0.0087,0.005,0.0,0.0,0.2626,0.0,0.001
496,0.0,0.0025,0.0001,0.0,0.0,0.4035,0.0,0.0
497,0.0,0.0027,0.0,0.0,0.0,0.5083,0.0,0.0
695,0.0139,0.0044,0.0003,0.0,0.0,0.4804,0.0,0.0
643,0.0127,0.0051,0.0,0.0,0.0,0.3645,0.0,0.0
565,0.0,0.0019,0.0003,0.0,0.0,0.5941,0.0,0.0
918,0.0003,0.0023,0.0001,0.0,0.0,0.4189,0.0,0.0
423,0.0089,0.0024,0.0003,0.0,0.0,0.3592,0.0,0.0
1668,0.0127,0.0033,0.0001,0.0,0.0,0.3563,0.0938,0.0001
964,0.0154,0.0031,0.0,0.0,0.0,0.335,0.0,0.0
965,0.0107,0.0021,0.0,0.0,0.0,0.4607,0.0,0.0
845,0.0609,0.0239,0.0008,0.0,0.0,0.0774,0.0118,0.0116
844,0.035,0.0158,0.0001,0.0,0.0,0.1801,0.0186,0.0043
843,0.015,0.0033,0.0001,0.0,0.0,0.3741,0.0,0.0
842,0.242,0.0733,0.0,0.0,0.0,0.0212,0.061,0.1682
1158,0.0029,0.0009,0.0,0.0,0.0,0.5372,0.0,0.0
535,0.0025,0.0017,0.0,0.0,0.0,0.2861,0.0,0.0046
536,0.0012,0.0036,0.0,0.0,0.0,0.4645,0.0,0.0
537,0.0015,0.0029,0.0,0.0,0.0,0.3943,0.0,0.0
889,0.0,0.0024,0.0,0.0,0.0,0.4035,0.0,0.0
890,0.0,0.0024,0.0,0.0,0.0,0.3612,0.0,0.0
891,0.0,0.0026,0.0,0.0,0.0,0.4432,0.0,0.0
1161,0.0,0.0027,0.0,0.0,0.0,0.5083,0.0,0.0
890,0.0,0.002,0.0,0.0,0.0,0.3343,0.0,0.0
853,0.0,0.0043,0.0,0.0,0.0,0.4339,0.0,0.0
854,0.0,0.0022,0.0,0.0,0.0,0.3622,0.0,0.0
856,0.0,0.0027,0.0,0.0,0.0,0.4594,0.0,0.0
852,0.0,0.003,0.0,0.0,0.0,0.3819,0.0,0.0
855,0.0,0.0025,0.0,0.0,0.0,0.3629,0.0,0.0
1169,0.0069,0.0019,0.0,0.0,0.0,0.5169,0.0,0.0
1130,0.0043,0.0059,0.0014,0.0,0.0,0.4625,0.0,0.0
568,0.0,0.0,0.0001,0.0,0.0,0.5284,0.0,0.0
567,0.0,0.0,0.0001,0.0,0.0,0.6247,0.0,0.0
569,0.0,0.0,0.0004,0.0,0.0,0.5602,0.0,0.0
481,0.0,0.0007,0.0004,0.0,0.0,0.5054,0.0,0.0
473,0.0058,0.0037,0.0001,0.0,0.0,0.2313,0.0,0.0049
732,0.0,0.0053,0.0,0.0,0.0,0.3169,0.0,0.0
477,0.0103,0.006,0.0003,0.0,0.0,0.2156,0.0,0.0071
736,0.0065,0.0035,0.0001,0.0,0.0,0.2045,0.0,0.0
478,0.0086,0.0071,0.0007,0.0,0.0,0.3809,0.0,0.0
480,0.0073,0.0068,0.0004,0.0,0.0,0.235,0.0,0.0071
479,0.0,0.0012,0.0001,0.0,0.0,0.4242,0.0,0.0
476,0.0,0.003,0.0001,0.0,0.0,0.3684,0.0,0.0
731,0.0057,0.0035,0.0005,0.0,0.0,0.2129,0.0,0.0
471,0.0,0.0,0.0004,0.0,0.0,0.6053,0.0,0.0
735,0.0058,0.0045,0.0001,0.0,0.0,0.2952,0.0,0.0049
474,0.006,0.0053,0.001,0.0,0.0,0.3135,0.0,0.0049
734,0.0,0.0002,0.0008,0.0,0.0,0.5336,0.0,0.0
475,0.0,0.0045,0.0005,0.0,0.0,0.3361,0.0,0.0
730,0.0066,0.003,0.0011,0.0,0.0,0.2873,0.0,0.0
733,0.0018,0.0,0.0009,0.0,0.0,0.4402,0.0,0.0
472,0.0,0.0,0.0002,0.0,0.0,0.5843,0.0,0.0
505,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
507,0.0,0.0,0.0,0.0,0.0,0.5025,0.0,0.0
506,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
812,0.008,0.0015,0.0,0.0,0.0,0.4636,0.0,0.0
813,0.0,0.0,0.0,0.0,0.0,0.5402,0.0304,0.0008
814,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
425,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
644,0.0,0.0,0.0,0.0,0.0,0.5766,0.0304,0.0008
241,0.0048,0.0148,0.0005,0.0,0.0,0.3273,0.0,0.0
468,0.0095,0.0117,0.0007,0.0,0.0,0.228,0.0,0.0
470,0.003,0.0091,0.0013,0.0,0.0,0.4441,0.0,0.0
469,0.0456,0.0121,0.0004,0.0,0.0,0.2185,0.0,0.001
825,0.0,0.0,0.0,0.0,0.0,0.5402,0.0304,0.0008
824,0.0045,0.0003,0.0001,0.0,0.0,0.467,0.0,0.0
823,0.0,0.0,0.0,0.0,0.0,0.4779,0.0,0.0
439,0.0,0.0,0.0,0.0,0.0,0.5402,0.0304,0.0008
243,0.0017,0.0121,0.0004,0.0,0.0,0.3872,0.0,0.0
440,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
441,0.0012,0.0005,0.0,0.0,0.0,0.4097,0.0,0.0
242,0.0035,0.0075,0.0005,0.0,0.0,0.2889,0.0,0.0
517,0.0034,0.0011,0.0002,0.0,0.0,0.3903,0.0,0.0
519,0.0382,0.1335,0.0005,0.0,0.0,0.3543,0.0225,0.0296
728,0.002,0.0026,0.0001,0.0,0.0,0.2622,0.0,0.0046
827,0.0044,0.0018,0.0002,0.0,0.0,0.4468,0.0,0.0
826,0.0053,0.0003,0.0,0.0,0.0,0.4786,0.0,0.0
352,0.0018,0.0006,0.0,0.0,0.0,0.5406,0.0,0.0008
931,0.0031,0.0,0.0,0.0,0.0,0.4479,0.0,0.0
932,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
935,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
933,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
934,0.0,0.0079,0.0,0.0,0.0,0.2977,0.0,0.0
936,0.0,0.0,0.0001,0.0,0.0,0.6216,0.0,0.0
937,0.0,0.0001,0.0,0.0,0.0,0.3737,0.0,0.0
1448,0.0232,0.0089,0.0004,0.0,0.0,0.2078,0.0108,0.006
1447,0.0038,0.0012,0.0,0.0,0.0,0.6095,0.0,0.0
269,0.0,0.0,0.0002,0.0,0.0,0.4595,0.0,0.0
1446,0.0032,0.0011,0.0001,0.0,0.0,0.5596,0.0,0.0
