SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
829.0,2.0,28.29,10.0,3.0,3.0,97.18,1.248,1.29
831.0,2.0,30.79,40.0,1500.0,750.0,72.28,1.0,1.0
767.0,6.714,30.898,300.0,1500.0,610.8,83.12,1.0,1.0
496.0,2.0,29.54,14.0,930.0,230.0,69.94,1.0,1.0
497.0,2.0,31.63,11.0,2400.0,1500.0,49.4,1.0,1.46
695.0,25.38,44.74,26.0,210.0,210.0,56.62,1.0,1.0
643.0,23.28,50.34,10.0,43.0,43.0,83.62,1.0,1.0
565.0,2.0,24.96,29.0,3.0,3.0,83.94,1.0,1.084
918.0,2.57,27.88,13.0,3.0,3.0,97.18,1.248,1.29
423.0,16.98,29.04,30.0,240.0,240.0,59.16,1.0,1.0
1668.0,23.28,35.7,18.0,150.0,75.0,78.66,1.0,1.0
964.0,27.9,34.75,10.0,23.0,23.0,68.64,1.0,1.0
965.0,19.98,26.66,12.0,210.0,120.0,59.76,1.0,1.0
845.0,104.11,198.46,56.0,2400.0,2400.0,17.74,1.042,2.44
844.0,60.72,134.85,18.0,2400.0,2400.0,17.74,1.042,2.44
843.0,27.12,35.82,16.0,2400.0,1100.0,60.5,1.0,1.0
842.0,408.0,588.7,10.0,2400.0,1100.0,46.62,1.04,1.83
1158.0,7.653,20.739,10.0,24196.0,1396466.4,78.56,1.0,1.0
535.0,6.2,23.41,10.0,24196.0,24196.0,83.36,1.0,1.0
536.0,4.02,38.18,10.0,1439.0,52.0,84.58,1.0,1.0
537.0,4.46,32.97,10.0,1725.0,235.0,97.52,1.0,1.0
889.0,2.0,29.13,10.0,3.0,3.0,97.18,1.248,1.29
890.0,2.0,28.71,10.0,3.0,3.0,97.18,1.248,1.29
891.0,2.0,30.38,10.0,3.0,3.0,90.24,1.248,1.29
1161.0,2.0,31.63,10.0,230.0,3.0,66.16,1.0,1.0
890.0,2.0,25.79,10.0,40.0,3.0,86.72,1.0,1.0
853.0,2.0,43.71,10.0,430.0,150.0,62.26,1.0,1.0
