DBO_mg/L,DQO_mg/L
0.0,0.0
0.0,0.0013
0.0,0.0
0.0,0.0015
0.0,0.0
0.0,0.0014
0.0,0.0
0.0,0.0024
0.0,0.0023
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0016,0.0
0.0,0.0011
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0002
0.0,0.0
0.0,0.0003
0.0,0.0005
0.0,0.0004
0.0,0.0003
0.0,0.0015
0.0,0.0037
0.0,0.0033
0.008,0.0019
0.011,0.002
0.0081,0.0015
0.0125,0.0024
0.0106,0.0017
0.0113,0.0021
0.0134,0.003
0.0169,0.0051
0.0095,0.0021
0.0113,0.0018
0.0154,0.0039
0.0064,0.0014
0.0171,0.0045
0.012,0.0021
0.0,0.0
0.0,0.0
0.0107,0.0017
0.0032,0.0048
0.002,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0021,0.0
0.0017,0.0
0.0,0.0
0.0047,0.0006
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0053,0.0003
0.0021,0.0
0.0,0.0
0.0,0.0004
0.0,0.0012
0.0,0.0002
0.0058,0.0005
0.0,0.0006
0.0,0.0
0.0,0.0
0.0,0.0008
0.0,0.0
0.0,0.0022
0.0017,0.0017
0.0,0.0
0.0,0.0002
0.0238,0.0097
0.0564,0.0218
0.0703,0.0215
0.1299,0.0432
0.0822,0.0258
0.0453,0.0197
0.0,0.0044
0.1299,0.066
0.0,0.003
0.0143,0.0092
0.0079,0.0045
0.0604,0.0331
0.0215,0.0113
0.0086,0.0033
0.0066,0.003
0.0346,0.0229
0.0185,0.0147
0.0369,0.0138
0.0209,0.0069
0.002,0.0011
0.0155,0.004
0.0244,0.0094
0.9046,0.4112
0.0021,0.0043
0.0019,0.0001
0.0,0.0053
0.1776,0.0939
0.0,0.0047
0.0012,0.0
0.003,0.0025
0.0,0.0
0.0,0.0
0.0,0.0
0.0046,0.0424
0.0,0.0
0.0,0.0
0.0037,0.0024
0.0017,0.0009
0.0,0.0
0.0035,0.0
0.0079,0.0018
0.0079,0.0021
0.153,0.0398
0.0008,0.0008
0.0062,0.0014
0.0295,0.0139
0.0,0.0
0.0038,0.0013
0.0035,0.0014
0.0035,0.0002
0.0016,0.0
0.0014,0.0015
0.0,0.0
0.0016,0.0003
0.0079,0.0036
0.008,0.0017
0.0034,0.001
0.0029,0.0
0.0018,0.0013
0.0008,0.0002
0.0058,0.0005
0.0,0.0
0.0017,0.0013
0.0,0.0
0.0009,0.0
0.001,0.0
0.0018,0.0
0.0023,0.0003
0.0034,0.0
0.0078,0.0101
0.0022,0.0007
0.0023,0.0004
0.0018,0.0022
0.0,0.0
0.0029,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.017,0.0045
0.0174,0.0051
0.0251,0.0058
0.0085,0.0015
0.0057,0.0015
0.0083,0.0025
0.0101,0.0028
0.0173,0.0044
0.013,0.0026
0.0139,0.0034
0.0109,0.0028
0.0021,0.0019
0.0158,0.0027
0.0141,0.0075
0.0057,0.0017
0.0086,0.0022
0.008,0.0019
0.0089,0.0012
0.0089,0.0074
0.0039,0.0024
0.016,0.0072
0.0143,0.0028
0.0169,0.0073
0.0105,0.0022
0.0303,0.0075
0.0076,0.0025
0.0245,0.0052
0.0227,0.0045
0.017,0.0043
0.0174,0.0044
0.0306,0.0069
0.0234,0.0049
0.0109,0.0019
0.009,0.0023
0.0095,0.0016
0.0083,0.0018
0.0082,0.0016
0.0148,0.0031
0.0079,0.0014
0.0113,0.0022
0.0082,0.0021
0.0158,0.0028
0.0156,0.0029
0.008,0.0017
0.0077,0.0025
0.0169,0.0053
0.0228,0.0054
0.0164,0.0044
0.0083,0.0028
0.0135,0.0029
0.0162,0.0034
0.0175,0.005
0.0165,0.0046
0.0139,0.0032
