DBO_mg/L,DQO_mg/L
4.8,10.0
2.0,10.0
9.9,15.12
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
10.9,12.6
5.6,10.0
2.0,10.0
2.0,13.18
2.0,19.78
2.0,11.54
11.8,14.01
2.0,14.83
2.0,10.0
2.0,10.0
2.0,16.48
2.0,10.0
2.0,27.19
4.88,23.07
2.0,10.0
2.0,11.54
42.0,86.21
96.67,182.23
120.0,179.37
220.0,350.8
140.0,213.66
78.0,165.09
2.0,44.96
220.0,530.8
2.0,33.71
26.0,82.46
15.33,45.79
103.33,270.8
38.0,99.13
16.5,35.79
13.0,33.71
60.0,190.8
33.0,125.79
64.0,118.71
37.0,64.13
5.33,18.71
28.0,41.63
43.0,84.13
1520.0,3254.0
5.5,43.56
5.2,11.08
2.0,51.625
300.0,750.8
2.0,47.041
4.0,10.0
7.0,29.935
2.0,10.0
2.0,10.0
2.0,10.0
9.7,344.74
2.0,10.0
2.0,10.0
8.2,29.26
4.9,16.72
2.0,10.0
7.9,10.0
15.3,24.13
15.3,26.62
258.7,324.15
3.385,16.3548015
12.4,21.1
51.5,119.79
2.0,10.0
8.46,19.88
7.91,20.725
7.935,11.945
4.74,10.0
4.32,21.605
2.0,10.0
4.74,12.66
15.3,38.055
15.495,23.12
7.685,18.145
6.835,10.0
4.97,19.96
3.42,11.945
11.665,13.895
2.0,10.0
4.815,20.01
2.0,10.0
3.49,10.0
3.665,10.0
5.08,10.0
5.84,12.115
7.74,10.0
15.15,89.86
5.77,15.69
5.885,13.075
5.085,27.37
2.0,10.0
6.8,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
30.54,45.5
31.14,49.98
44.04,55.69
16.26,21.96
11.52,21.47
15.96,29.77
18.96,32.21
31.08,44.41
23.88,30.74
25.26,37.13
20.22,31.72
5.46,24.75
28.44,31.42
25.62,69.02
11.49,23.8
16.47,27.61
15.36,24.75
16.89,19.52
16.86,68.07
8.58,28.56
28.92,66.64
25.92,32.21
30.42,67.59
19.62,27.33
52.81,69.3
14.76,29.51
43.08,51.3
40.08,45.5
30.6,44.04
31.26,45.01
53.4,64.37
41.28,48.4
20.28,24.89
17.16,27.82
17.94,22.94
15.99,24.28
15.69,22.37
26.76,34.46
15.3,20.94
20.88,27.38
15.78,26.9
28.5,32.37
28.2,32.57
15.42,23.23
15.0,29.77
30.36,51.73
40.32,52.7
29.58,44.41
15.99,31.72
24.66,32.7
29.1,37.09
31.32,49.29
29.76,46.36
25.26,35.14
32.04,45.87
18.06,21.6
2.0,25.08
2.0,12.54
2.0,10.0
12.15,19.04
48.0,61.4
30.78,44.74
13.47,22.37
30.24,40.94
2.0,10.0
5.2,10.0
4.58,26.75
6.36,10.0
2.0,17.47
2.71,38.71
2.57,40.79
2.0,26.21
18.0,75.79
3.33,84.13
2.0,34.13
7.6,63.71
14.33,65.38
13.0,79.54
10.3,13.38
2.0,15.38
12.9,25.08
2.0,14.13
2.0,10.0
2.0,10.0
2.0,43.71
2.0,10.0
12.1,15.05
8.1,11.7
2.0,61.21
2.0,60.38
2.0,64.96
2.0,10.0
2.57,34.54
13.0,62.1
2.43,31.21
2.0,27.88
2.0,13.71
2.0,30.38
2.0,28.71
2.0,10.0
2.0,32.46
2.0,17.47
2.0,45.38
2.0,47.46
5.0,58.29
2.0,37.88
4.33,52.88
2.0,35.79
780.0,1581.6
2.0,27.46
2.0,26.63
2.0,18.29
2.0,48.71
2.0,32.04
2.0,37.04
2.0,28.71
6.0,54.54
36.0,83.29
20.0,38.71
2.0,32.04
2.0,30.38
4.64,10.0
2.0,26.21
2.25,45.38
2.0,37.04
2.0,36.21
2.0,23.29
2.0,42.04
2.0,38.71
2.0,10.0
2.0,38.29
2.0,36.21
2.0,51.21
2.0,10.0
2.0,43.71
2.0,47.04
2.0,38.29
4.22,12.54
2.0,32.88
2.0,52.88
2.0,45.79
2.57,72.04
3.33,85.38
7.67,69.54
26.0,98.71
17.0,74.54
2.14,70.79
22.0,80.38
26.0,84.13
2.57,49.13
2.0,24.13
2.0,36.63
2.0,30.79
38.0,89.13
2.0,24.13
12.67,56.21
2.0,25.38
2.83,32.46
2.0,32.46
2.0,30.79
2.0,33.29
2.0,35.38
2.0,35.38
2.0,29.96
2.0,13.24
4.38,58.69
4.67,48.29
2.0,10.0
3.06,10.0
5.6,17.56
2.0,29.54
2.0,44.95
2.0,23.4
2.0,45.65
2.0,10.0
2.0,69.81
2.0,17.07
2.0,54.31
2.0,10.0
2.0,10.0
2.0,10.0
62.25,181.615
8.78,32.46
32.4,94.67
38.9,132.97
76.5,228.08
9.8,66.05
46.5,116.05
21.3,42.54
4.85,28.87
19.67,36.64
7.14,21.2
9.12,15.26
6.65,49.975
2.0,23.74
12.7,88.36
16.4,80.74
2.0,10.0
8.5,39.28
12.7,36.72
14.0,49.46
11.4,24.96
12.9,37.08
10.6,54.51
15.3,30.82
12.0,49.845
13.1,47.08
46.5,68.44
16.4,50.41
6.2,31.18
2.0,10.87
2.0,10.0
2.0,11.7
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
5.7,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.4,10.0
2.0,10.0
5.26,20.26
2.0,10.0
5.8,10.0
5.3,21.63
9.4,12.78
12.2,79.13
2.0,233.79
2.0,10.0
2.0,10.0
2.0,10.92
11.2,19.04
8.1,10.0
8.6,10.0
2.0,10.0
7.4,10.0
9.1,28.42
2.0,12.42
8.9,18.39
2.0,10.0
23.3,111.69
8.0,41.59
2.0,32.21
154.25,362.69
11.5,49.72
2.0,11.7
6.0,28.42
2.0,10.0
15.7,19.32
18.0,20.26
2.0,17.56
2.0,10.0
104.5,195.33
130.0,205.95
199.25,271.28
63.6,139.97
81.0,134.97
26.3,73.05
95.5,179.28
114.5,206.26
4.16,63.64
5.24,79.64
2.0,10.0
2.0,10.0
3.54,10.0
8.1,35.03
15.8,34.92
3.32,10.0
2.0,17.39
2.0,10.0
2.0,10.0
2.0,15.96
7.5,10.92
10.2,13.44
10.5,13.44
10.3,13.31
10.0,14.14
86.5,118.18
4.1,11.82
2.0,34.15
4.24,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,12.66
14.2,25.08
6.5,10.08
91.0,128.67
97.0,116.46
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
11.3,14.21
2.0,10.0
2.0,10.0
5.9,10.92
7.1,10.0
4.62,12.42
9.6,13.25
4.56,14.14
2.0,12.48
2.0,10.0
4.32,15.81
4.1,26.04
2.0,23.52
2.0,10.0
2.0,10.0
2.0,10.0
2.0,16.88
2.0,10.0
2.0,25.2
2.0,10.92
2.0,12.6
2.0,22.68
5.0,71.77
2.0,25.08
4.8,10.0
2.0,10.0
2.0,10.0
6.6,16.88
4.5,10.0
2.0,10.0
2.0,10.0
11.9,15.81
10.9,11.65
8.6,10.82
7.9,145.1
6.5,73.29
10.0,103.29
10.33,107.88
8.67,92.46
10.67,109.13
4.29,70.38
4.46,72.04
2.0,68.29
53.33,124.54
2.0,63.71
46.0,167.94
5.17,59.13
4.33,55.38
6.0,67.46
14.67,127.04
16.67,106.21
5.0,64.54
30.0,117.46
8.8,31.44
2.0,11.7
10.0,10.0
2.0,15.88
2.0,14.21
2.0,12.54
2.0,10.87
16.0,19.32
16.9,18.48
16.8,19.32
15.5,17.64
4.72,10.0
17.6,20.16
2.0,67.46
2.0,24.27
2.0,65.79
2.0,32.88
2.0,35.38
18.0,81.63
17.0,86.63
14.5,72.46
17.5,77.46
2.0,10.0
8.87,42.87
12.23,33.04
20.63,33.73
20.8,49.57
17.2,38.77
14.37,38.63
11.97,29.18
2.0,26.77
21.4,37.51
9.73,59.98
5.93,85.86
2.0,10.0
12.17,86.62
2.0,20.92
2.0,10.0
2.0,32.64
2.0,10.0
2.0,10.0
2.0,12.49
2.0,41.05
4.1,47.13
2.05,19.01
2.05,36.71
2.05,10.0
3.73,10.0
2.65,30.77
2.05,16.11
2.0,43.56
3.33,52.69
2.61,39.48
2.0,10.0
2.0,26.0
2.0,10.14
2.0,10.0
2.0,32.69
2.02,40.87
9.6,49.72
2.0,10.0
37.44,42.11
386.0,796.11
3.12,10.0
2.0,10.0
80.5,266.75
2.0,10.0
2.0,10.0
6.72,65.03
4.4,15.73
2.0,10.0
112.0,173.64
5.5,64.59
4.718,19.242
10.306,18.21
7.653,20.739
6.799,29.436
5.106,19.242
4.718,19.242
4.718,19.242
12.713,24.265
10.94,32.452
3.356,10.0
31.94,41.456
2.7,16.712
49.724,80.514
4.718,19.242
4.718,19.242
20.148,30.488
4.718,19.242
10.326,18.186
18.27,28.248
3.356,10.0
10.276,26.61
22.426,33.96
18.27,28.248
33.736,42.018
3.67,10.0
4.69,18.06
5.68,22.72
4.48,21.44
5.53,43.13
2.13,27.96
131.25,231.23
2.0,10.0
4.12,12.54
2.0,16.72
2.0,10.0
2.0,10.0
2.0,18.39
2.0,10.0
2.0,17.56
2.0,10.0
2.0,10.0
2.0,10.0
7.38,32.968
5.76,16.362
3.7,20.9
58.56,89.37
123.75,187.64
47.4,61.92
20.82,38.4
21.9,35.04
93.91,162.84
81.61,144.71
2.0,10.0
2.0,118.26
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
65.0,101.59
36.8,85.44
2.0,27.98
4.42,23.74
2.0,30.49
2.0,27.14
488.0,614.87
10.276,26.61
16.186,27.772
10.276,26.61
2.0,17.15
3.86,21.21
5.43,29.54
2.0,13.736
3.22,20.902
7.653,20.739
2.0,27.88
2.0,26.63
2.0,28.29
2.0,30.79
6.714,30.898
2.0,29.54
2.0,31.63
25.38,44.74
23.28,50.34
2.0,24.96
2.57,27.88
16.98,29.04
23.28,35.7
27.9,34.75
19.98,26.66
104.11,198.46
60.72,134.85
27.12,35.82
408.0,588.7
7.653,20.739
6.2,23.41
4.02,38.18
4.46,32.97
2.0,29.13
2.0,28.71
2.0,30.38
2.0,31.63
2.0,25.79
2.0,43.71
2.0,27.04
2.0,31.21
2.0,33.29
2.0,29.96
16.104,32.876
9.2,56.82
2.0,10.0
2.0,10.0
2.0,10.0
2.0,15.34
11.8,39.46
2.0,51.77
19.2,56.97
12.9,37.92
16.4,66.13
14.3,63.64
2.0,19.6
2.0,33.74
11.5,37.67
2.0,10.0
11.7,45.18
12.1,51.51
2.0,11.93
2.0,45.18
13.1,33.56
5.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
15.4,21.84
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
10.1,126.64
17.9,102.28
7.1,81.69
78.6,105.62
2.0,10.0
9.52,12.72
2.0,10.0
2.0,10.0
4.92,105.44
2.0,10.0
4.02,14.21
7.82,69.13
2.0,10.184
9.366,17.954
5.43,30.755
9.4,24.24
10.9,12.54
2.432,18.474
7.2,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,72.03
2.0,10.0
2.0,10.97
2.266,44.044
9.768,19.664
2.7,16.712
25.536,54.788
3.58,10.0
5.26,17.986
2.0,10.0
6.76,10.0
2.0,16.64
2.0,10.0
2.944,24.93
25.074,34.37
17.98,35.466
3.6,30.31
2.944,26.424
20.434,27.74
2.0,20.652
6.16,15.242
16.018,25.978
43.13,75.153
7.45,38.828
661.55,2381.18
41.334,101.74
60.2,162.83
66.0,196.51
12.67,33.71
2.0,71.21
3.5,75.38
2.0,61.63
2.0,63.71
540.0,895.88
760.0,1426.06
10.76,18.67
99.2,170.16
22.67,73.71
19.8,39.21
126.67,185.09
145.0,225.09
1680.0,2800.0
182.0,721.67
22.5,32.37
2.0,10.0
2.0,10.0
20.148,30.488
18.984,30.82
20.262,30.058
21.102,35.674
24.918,34.626
33.952,48.904
15.906,38.456
38.736,53.346
12.534,23.086
25.184,35.208
18.27,28.248
33.736,42.018
31.672,39.404
24.918,34.626
18.27,28.248
18.27,28.248
29.314,39.068
25.184,35.208
24.918,34.626
33.736,42.018
17.98,35.466
25.184,35.208
18.304,32.172
24.39,33.882
24.918,34.626
18.27,28.248
14.97,25.7
14.97,23.91
20.16,26.84
21.24,28.3
15.54,24.4
2.0,14.49
5.53,51.15
2.0,37.47
2.0,25.35
6.93,15.08
7.329,34.241
2.944,24.93
2.944,24.93
2.7,16.712
13.808,22.944
6.685,25.979
12.826,23.498
15.09,19.2
18.67,50.38
12.33,67.04
46.0,136.63
13.67,50.38
8.33,33.71
7.5,35.79
8.75,32.88
12.67,69.13
51.514,126.846
57.952,236.696
57.952,236.696
4.14,21.104
86.89,331.188
11.3,27.813
103.27,210.87
5.2,37.848
3.38,17.412
6.96,19.018
