DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
35.04,53.607159527614456,36.0,1100.0,460.0,10.0,1.0,1.0
55.56,83.61,403.1052152413565,2400.0,2400.0,10.0,1.0,1.0
54.0,67.2,70.0,59215.9849485904,2400.0,37.8,1.0,1.0
86.0,254.54116526592162,48.0,2400.0,2400.0,10.0,1.1336196464782182,7.377720701751984
40.2,55.68,68.0,-1375509.4815900847,66661.7150979675,10.0,1.0,1.0
7.2,44.08,43.1,6131.0,5172.0,36.6,1.0,1.0
15.33,27.36,285.48505490225085,15.0,7.0,53.0,1.0,1.0
50.5,88.44,61.2,241960.0,241960.0,10.0,1.0,1.0
98.6,132.93,102.0,150.0,95491.68657310287,38.6,1.2309617221911675,1.0
13.74,30.847974994934233,34.0,120.0,120.0,47.1,1.0,1.0
14.22,30.16,80.0,20.0,9.0,69.37988796409215,1.0,1.0
45.72,70.99,62.0,2400.0,240.0,49.2,1.0,1.0
49.08,72.38,18.0,2400.0,460.0,30.3,1.0,1.0
4.72,15.05,10.0,959.0,464.0,96.4,1.0,1.0
22.2,67.15,182.8,20499270.563979667,1732900.0,65.6,1.0,1.0
19.6,57.15,481.0,307600.0,155300.0,36.6,1.0,1.0
55.807700737274914,98.18,693.0,241960.0,241960.0,21.2,1.0,1.0
2.0,69.03,34.5,24196.0,24196.0,14.7,1.0,1.0
12.3,72.97,44.9,24196.0,24196.0,69.37597850072596,1.0,2.9071364640684028
22.6,77.33,47.7,98040.0,48840.0,97.0,1.0,1.0
73.0,341.79,241.5,547500.0,517200.0,55.603291489848544,1.0,1.96
81.0,149.21,198.0,488400.0,270000.0,10.7,1.0,1.0
95.5,146.38,206.5,241960.0,91041.41495303143,10.0,1.0,1.65
77.5,145.36,309.5,241960.0,241960.0,13.9,1.0,1.48
29.6,78.62,191.2,228600.0,95900.0,31.8,1.0,1.0
187.5,317.44,758.0,24196.0,24196.0,10.0,1.0,1.14
284.75,388.72,784.0,1413600.0,1413600.0,10.0,1.0,7.69
105.5,1190.0,239.5,2419600.0,2419600.0,10.0,1.0,100.0
213.75,3253.75,1207.0,241960.0,241960.0,19.6,2.49,134.42105726567425
106.0,931.5,178.8,2419600.0,2419600.0,10.0,1.0,41.01658385684419
94.0,96.8510788292135,27.7,2419600.0,2419600.0,46.6,2.55,1.0
134.0,1731.5,479.0,241960.0,241960.0,20.9,2.55,70.40661804371426
106.5,466.75,65.4,38929419.83928238,2419600.0,83.63293066308749,1.0,2.16
100.5,726.75,177.5,2419600.0,2419600.0,13.2,1.5647792091695538,24.39
2.0,24.24,10.0,24196.0,24196.0,55.1,1.0,1.0
144.25,196.87,104.2,96000.0,35500.0,10.0,1.0,5.81
113.0,197.38,100.6,461100.0,115300.0,10.0,1.0,1.68
24.639043578762326,26.04,10.0,2419600.0,2419600.0,24.7,1.0,1.0
10.3,66.82,86.0,12230.0,4570.0,47.2,1.0,1.0
2.0,96.72,304.4,15530.0,13330.0,30.2,0.9241364484428102,1.0
9.9,28.29,130.5,-2007623.8330413215,794.0,46.2,1.0,1.0
8.4,61.859728743502075,99.4,17329.0,111280.34151073129,40.7,1.0,3.050064330060622
2.0,11.65,30.5,15531.0,12997.0,42.3,0.9329093289442915,1.0
8.8,12.66,107.6,24196.0,24196.0,63.9,1.0,1.0
2.0,10.0,13.5,24196.0,24196.0,68.2,1.0,0.6595694345386363
