SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
476.0,2.0,33.74,17.4,1396.0,3.0,,,
731.0,11.5,37.67,41.3,1616.0,3.0,,,
471.0,2.0,10.0,32.3,708.0,10.0,,,
735.0,11.7,45.18,18.2,1100.0,100.0,,,
474.0,12.1,51.51,68.5,980.0,200.0,,,
734.0,2.0,11.93,57.5,4960.0,100.0,,,
475.0,2.0,45.18,37.1,3873.0,3.0,,,
730.0,13.1,33.56,76.4,860.0,200.0,,,
733.0,5.0,10.0,61.3,776.0,189.0,,,
472.0,2.0,10.0,24.3,146.0,86.0,,,
505.0,2.0,10.0,10.0,10.0,3.0,,,
507.0,2.0,10.0,10.0,211.0,146.0,,,
506.0,2.0,10.0,10.0,3.0,3.0,,,
812.0,15.4,21.84,11.2,85.0,41.0,,,
813.0,2.0,10.0,10.0,262.0,41.0,,,
814.0,2.0,10.0,10.0,336.0,3.0,,,
425.0,2.0,10.0,10.0,31.0,20.0,,,
644.0,2.0,10.0,10.0,185.0,161.0,,,
241.0,10.1,126.64,38.3,19863.0,633.0,,,
468.0,17.9,102.28,51.8,24196.0,142.0,,,
470.0,7.1,81.69,86.6,8840.0,200.0,,,
469.0,78.6,105.62,33.0,4106.0,3.0,,,
825.0,2.0,10.0,10.0,1872.0,63.0,,,
824.0,9.52,12.72,17.6,3654.0,1137.0,,,
823.0,2.0,10.0,11.2,1259.0,52.0,,,
439.0,2.0,10.0,10.0,97.0,52.0,,,
243.0,4.92,105.44,30.7,24196.0,185.0,,,
440.0,2.0,10.0,10.0,246.0,109.0,,,
441.0,4.02,14.21,10.0,393.0,121.0,,,
242.0,7.82,69.13,36.6,3873.0,62.0,,,
517.0,,,19.3,3873.0,,,,
519.0,,,40.2,63.0,,,,
728.0,5.43,30.755,14.35,196.5,3.0,,,
827.0,9.4,24.24,20.3,20.0,3.0,,,
826.0,10.9,12.54,11.2,10.0,3.0,,,
352.0,,,10.0,2495.0,,,,
931.0,7.2,10.0,10.0,218.0,3.0,,,
932.0,2.0,10.0,10.0,384.0,20.0,,,
935.0,2.0,10.0,10.0,529.0,3.0,,,
933.0,2.0,10.0,10.0,189.0,10.0,,,
934.0,2.0,72.03,10.0,1430.0,10.0,,,
936.0,2.0,10.0,14.6,110.0,3.0,,,
937.0,2.0,10.97,10.0,520.0,3.0,,,
1448.0,,,34.4,393.0,,,,
1447.0,,,10.2,520.0,,,,
269.0,,,20.6,1664.0,,,,
1446.0,,,17.8,2382.0,,,,
502.0,3.58,10.0,10.0,2354.0,253.0,,,
434.0,,,20.9,6488.0,,,,
561.0,2.0,10.0,10.0,161.0,3.0,,,
562.0,6.76,10.0,10.0,199.0,3.0,,,
738.0,2.0,16.64,57.4,24196.0,31.0,,,
513.0,,,68.2,556.0,,,,
514.0,,,40.0,295.0,,,,
512.0,,,68.9,504.0,,,,
511.0,,,40.4,1112.0,,,,
744.0,,,38.3,4611.0,,,,
190.0,,,22.3,279.0,,,,
253.0,,,21.0,52.0,,,,
516.0,,,24.6,355.0,,,,
344.0,,,10.9,2247.0,,,,
318.0,,,10.0,448.0,,,,
315.0,,,,116050.0,,,,
142.0,,,,15000.0,,,,
320.0,,2381.18,,,,,,
321.0,,101.74,,,,,,
1088.0,60.2,162.83,117.78,23000000.0,,,,
66.0,66.0,196.51,412.5,11000.0,4600.0,,1.0,1.0
913.0,12.67,33.71,22.0,430.0,230.0,,,
1631.0,2.0,71.21,18.0,430.0,230.0,,,
945.0,3.5,75.38,16.0,110.0,70.0,,,
1630.0,2.0,61.63,15.0,210.0,110.0,,,
1629.0,2.0,63.71,10.0,230.0,90.0,,,
12.0,540.0,895.88,440.0,24000.0,24000.0,,1.63,1.0
1085.0,760.0,1426.06,500.0,2400.0,230.0,,9.17,13.51
690.0,10.76,18.67,10.0,,,,,
691.0,99.2,170.16,102.0,,,,,
908.0,22.67,73.71,21.0,24000.0,24000.0,,,
668.0,19.8,39.21,16.0,11615.0,90.0,,,
112.0,126.67,185.09,104.7,24000.0,24000.0,26.2,1.0,
111.0,145.0,225.09,166.7,24000.0,24000.0,22.1,1.0,
206.0,1680.0,2800.0,265.0,387300.0,34500.0,,1.0,
408.0,182.0,721.67,504.0,241960.0,43520.0,,2.73,17.24
963.0,22.5,32.37,82.0,43.0,15.0,,,
172.0,2.0,10.0,40.5,1250.0,10.0,,,
404.0,2.0,10.0,10.0,586.0,97.0,,,
666.0,,,24.0,3.0,,,,
559.0,,,29.0,93.0,,,,
558.0,,,28.0,3.0,,,,
664.0,,,28.0,9.0,,,,
665.0,,,32.0,7.0,,,,
80.0,,,32.0,23.0,,,,
760.0,,,286.0,3.0,,,,
1619.0,,,36.0,23.0,,,,
1624.0,,,17.0,9.0,,,,
1623.0,,,113.0,3.0,,,,
1618.0,,,30.0,3.0,,,,
1622.0,,,44.0,3.0,,,,
1621.0,,,48.0,3.0,,,,
1625.0,,,35.0,3.0,,,,
1620.0,,,26.0,3.0,,,,
612.0,,,30.0,3.0,,,,
126.0,,,41.0,3.0,,,,
55.0,,,59.0,3.0,,,,
1059.0,,,34.0,3.0,,,,
769.0,,,45.0,3.0,,,,
667.0,,,44.0,1100.0,,,,
716.0,,,66.0,23.0,,,,
718.0,,,53.0,1100.0,,,,
717.0,,,55.0,460.0,,,,
1706.0,,,35.0,3.0,,,,
719.0,,,32.0,3.0,,,,
546.0,14.97,25.7,14.0,1100.0,240.0,,,
522.0,14.97,23.91,10.0,210.0,120.0,,,
521.0,20.16,26.84,10.0,43.0,23.0,,,
520.0,21.24,28.3,14.0,3.0,3.0,,,
1708.0,15.54,24.4,12.0,3.0,3.0,,,
880.0,2.0,14.49,10.0,2400.0,1100.0,,,
925.0,5.53,51.15,10.0,1100.0,20.0,,,
840.0,2.0,37.47,10.0,2400.0,1100.0,,,
531.0,,,14.6,931.0,,,,
663.0,,,33.1,160.0,,,,
158.0,,,10.0,12350.0,,,,
308.0,,,14.85,293.5,,,,
553.0,,,13.0,292.0,,,,
554.0,,,22.65,1673.5,,,,
552.0,,,10.0,504.0,,,,
555.0,,,10.0,12170.0,,,,
137.0,,,46.0,93.0,,,,
1093.0,15.09,19.2,23.0,75.0,30.0,,,
1555.0,18.67,50.38,34.0,24000.0,,27.6,1.0,1.0
800.0,12.33,67.04,75.0,3.0,3.0,,,
797.0,46.0,136.63,,210.0,110.0,,,
796.0,13.67,50.38,56.0,930.0,210.0,,,
801.0,8.33,33.71,12.0,4600.0,2400.0,,,
799.0,7.5,35.79,27.0,230.0,40.0,,,
798.0,8.75,32.88,23.0,2100.0,230.0,,,
802.0,12.67,69.13,14.0,430.0,150.0,,,
633.0,,,,,,12.4,1.0,1.0
634.0,,,,,,10.0,1.0,1.0
635.0,,,,,,10.0,1.0,1.0
636.0,,,,,,95.9,1.0,1.0
148.0,,,,,,10.0,,
149.0,,,,,,56.4,,
147.0,,,,,,15.6,,
699.0,,,,,,98.1,1.0,1.0
700.0,,,,,,92.1,1.0,1.0
698.0,,,,,,88.5,1.0,1.0
1032.0,,,,,,68.0,1.0,1.0
998.0,,,,,,43.0,1.0,1.0
1057.0,,,,,,60.4,1.0,1.0
697.0,,,,,,94.3,1.0,1.0
39.0,,,,,,99.3,,
26.0,,,,,,100.7,,
1585.0,,41.0,,3873.0,,28.0,,1.0
1586.0,,68.0,,24196.0,,72.0,,1.0
751.0,,,,,,,,
752.0,,,,,,,,
1060.0,,,,,,,,
1612.0,,,,,,,,
136.0,,,,,,,,
216.0,,,,,,,,
169.0,,,,,,,,
385.0,,,,,,,,
47.0,,,,,,71.2,,
1647.0,,,,,,74.4,,
189.0,,,,,,53.2,,
199.0,,,,,,79.4,,
105.0,,,,,,87.2,,
1645.0,,,,,,74.8,,
1642.0,,,,,,72.1,,
1644.0,,,,,,64.1,,
72.0,224.4,435.49,113.85,25750000.0,21045000.0,,,
131.0,,,,3.0,3.0,,,
1581.0,35.2,35.2,10.0,28510000.0,27550000.0,,,
1570.0,2.46,10.0,42.0,,,,,
1571.0,2.8,10.0,32.0,,,,,
975.0,,19.07,,,,98.5,,1.0
130.0,,,,,,,,
326.0,,,,,,,,
1641.0,,,,,,99.4,,
1660.0,,,,,,,,
1697.0,7.8,40.92,73.5,52.0,3.0,,,
1698.0,4.4,17.64,57.1,41.0,10.0,,,
901.0,,,,46000.0,,,,
1635.0,47.04,59.02,16.0,2400.0,1100.0,,,
1634.0,323.33,441.38,44.0,210.0,120.0,,,
503.0,494.0,639.15,360.0,1100.0,1100.0,,,
504.0,420.0,553.32,320.0,460.0,460.0,,,
902.0,10.355,30.0,11.5,3505.5,2440.5,,,
903.0,7.01,17.97,17.5,3937.5,2072.0,,,
904.0,2.0,10.0,10.0,1187.0,435.0,,,
1603.0,,,,,99315.75,,,
495.0,2.0,27.63,10.0,,10.0,,,
490.0,2.0,34.53,10.0,,6.0,,,
492.0,2.0,20.72,10.0,,3.0,,,
489.0,2.0,20.72,10.0,,3.0,,,
494.0,2.0,20.72,10.0,,9.0,,,
488.0,2.0,27.63,10.0,,8.0,,,
493.0,2.0,20.72,10.0,,8.0,,,
487.0,2.0,27.63,10.0,,3.0,,,
486.0,2.0,34.53,10.0,,3.0,,,
202.0,,,10.0,,40.0,,,
201.0,,,10.0,,30.0,,,
150.0,909.91,1622.54,640.0,,6000.0,,,
785.0,,,,,24.0,,,
94.0,,,,,7.0,,,
174.0,,,,,24.0,,,
95.0,,,,,17.0,,,
57.0,,,,,40.0,,,
96.0,,,,,9.0,,,
815.0,,10.0,10.0,,,,1.0,1.0
808.0,,10.0,,4000.0,,,,
1694.0,,,,,985.75,,,
152.0,36.615,96.28,28.0,60075000.0,150000.0,47.5,,
116.0,120.5,164.755,13.5,550000075000.0,150000.0,100.5,,
286.0,21.4,75.64,14.0,46000000.0,26500000.0,76.6,,
285.0,26.65,102.1,20.0,240000.0,20120000.0,93.0,,
549.0,2.0,89.88,32.0,390000.0,390000.0,,,
550.0,2.0,10.0,10.0,930000.0,930000.0,,,
551.0,2.0,14.98,10.0,210000.0,210000.0,,,
143.0,99.835,222.08,60.0,43.0,57.5,11.9,,
1547.0,2.0,32.8915,10.0,64.0,32.0,68.5,,
1241.0,10.535,104.525,17.0,93000.0,49955.0,48.7,,
155.0,7.23,76.355,10.0,24000.0,2240.75,60.2,,
176.0,3.74,10.0,10.0,,10000.0,,,
175.0,5.1,144.0,26.0,,1000.0,,,
1243.0,4.23,10.0,10.0,11500375000.0,11500000467.5,78.5,,
1242.0,6.27,75.54,20.0,1204500000000.0,4500040000.0,64.5,,
101.0,7.445,29.24,13.5,46500046500.0,46500005500.0,75.1,,
144.0,4.93,37.77,24.0,,160000.0,57.2,,
1239.0,7.95,64.8,14.0,24000000000.0,12000115000.0,70.3,,
1244.0,10.32,38.585,52.0,9300.0,184650.0,56.7,,
1240.0,2.78,24.425,30.0,11500000200.0,23000000000.0,51.0,,
1238.0,2.75,10.0,32.0,19500000450.0,39000000000.0,50.3,,
1549.0,3.23,18.79,21.5,75000.0,11635.0,69.6,,
1245.0,7.51,38.21,14.5,230200.0,150000.0,96.4,,
1550.0,4.655,11.845,41.0,120000.0,11570.0,60.0,,
145.0,88.7,143.345,13.5,119000.0,210000.0,75.1,,
482.0,5.72,30.595,10.5,43.0,24.0,,,
1665.0,5.36,23.45,10.5,23.0,3.5,,,
485.0,6.02,23.925,10.0,75.0,11.5,,,
484.0,7.94,24.64,10.0,9.0,7.5,,,
491.0,5.42,20.355,10.0,23.0,15.0,,,
483.0,5.06,29.405,10.0,23.0,6.5,,,
1662.0,8.99,22.2,10.0,93000.0,64000.0,47.5,,
217.0,2.0,10.0,10.0,150000.0,75000.0,44.1,,
218.0,,,,,,71.3,,
1008.0,2.03,10.0,10.0,240000.0,120000.0,80.2,,
59.0,2.0,10.0,44.0,210000.0,93000.0,89.4,,
1209.0,4.53,22.47,40.0,640000.0,640000.0,92.3,,
1663.0,9.19,22.2,10.0,240000.0,120000.0,45.7,,
225.0,19.5,52.53,24.0,230000.0,230000.0,,,
841.0,10.43,44.94,10.0,1200000.0,1200000.0,,,
1210.0,4.93,74.9,56.0,280000.0,280000.0,90.0,,
1511.0,19.7,83.7,18.0,64.0,23.0,20.1,,
1434.0,2.0,10.0,44.0,750000.0,750000.0,68.1,,
959.0,2.0,91.31,10.0,9300.0,9300.0,,,
960.0,2.0,53.26,10.0,1200.0,1200.0,,,
1699.0,7.0,30.44,18.0,4600.0,4600.0,,,
962.0,2.0,22.83,10.0,4.0,4.0,,,
961.0,5.18,91.31,10.0,240.0,240.0,,,
1373.0,89.0,167.4,320.0,210.0,210.0,71.5,,
1237.0,7.067,104.9,162.0,43000.0,43000.0,61.8,,
1377.0,74.0,104.86,200.0,46000.0,46000.0,61.4,,
1375.0,2.0,10.0,14.0,43.0,14.0,50.2,,
810.0,2.0,29.96,10.0,7000.0,7000.0,,,
896.0,2.0,22.47,16.0,23000.0,23000.0,,,
787.0,23.0,89.88,24.0,7000.0,7000.0,,,
1376.0,2.0,22.83,10.0,11000.0,11000.0,54.2,,
1374.0,50.6,89.99,202.0,460000.0,460000.0,59.3,,
324.0,2.0,68.48,10.0,11000.0,2400.0,53.9,,
1594.0,2.0,22.83,10.0,43.0,4.0,60.1,,
43.0,2.0,15.22,10.0,2400.0,2400.0,78.4,,
53.0,19.1,60.87,10.0,2100.0,2100.0,69.7,,
970.0,16.8,60.87,82.0,43000.0,43000.0,12.4,,
971.0,19.4,60.87,10.0,1500.0,1500.0,40.7,,
906.0,11.28,20.3,10.0,93.0,93.0,,,
907.0,10.32,22.66,10.0,23.0,9.0,,,
874.0,6.12,19.52,14.0,23.0,23.0,,,
878.0,12.54,23.32,10.0,9.0,3.0,,,
727.0,27.9,37.44,20.0,3.0,3.0,,,
725.0,29.28,37.92,34.0,7.0,7.0,,,
726.0,30.72,34.56,26.0,15.0,9.0,,,
724.0,28.14,31.68,26.0,43.0,15.0,,,
722.0,13.77,23.04,14.0,120.0,15.0,,,
723.0,12.09,23.52,10.0,15.0,3.0,,,
721.0,14.34,29.76,14.0,3.0,3.0,,,
720.0,12.57,23.04,12.0,3.0,3.0,,,
875.0,11.73,22.85,14.0,4.0,4.0,,,
877.0,12.51,19.52,10.0,3.0,3.0,,,
876.0,10.62,21.9,10.0,3.0,3.0,,,
710.0,14.76,20.01,14.0,75.0,39.0,,,
811.0,16.29,22.45,12.0,15.0,15.0,,,
179.0,19.92,26.35,16.0,28.0,20.0,,,
709.0,15.21,27.61,12.0,23.0,9.0,,,
354.0,22.32,29.51,12.0,23.0,23.0,,,
178.0,54.12,73.2,12.0,460.0,43.0,,,
249.0,20.7,28.79,10.0,43.0,43.0,,,
180.0,11.52,20.3,10.0,11.0,7.0,,,
916.0,10.2,21.71,10.0,23.0,4.0,,,
181.0,16.2,25.02,12.0,43.0,43.0,,,
917.0,15.84,23.13,10.0,2400.0,460.0,,,
182.0,16.65,25.49,12.0,93.0,43.0,,,
915.0,11.46,22.18,10.0,4.0,3.0,,,
914.0,49.8,55.22,376.0,2400.0,1100.0,,,
598.0,,,22.0,240.0,,,,
597.0,,,41.0,2400.0,,,,
583.0,,,19.0,23.0,,,,
584.0,,,41.0,2400.0,,,,
1632.0,,,19.0,9.0,,,,
