SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
258.0,8.7,10.0,476.0,77010.0,6510.0,62.7,1.0,1.0
28.0,7.8,13.38,225.0,15531.0,934.0,96.4,1.0,1.0
1031.0,5.9,13.38,210.4,17329.0,3130.0,94.0,1.0,1.0
246.0,2.0,10.0,10.0,9804.0,110.0,96.0,1.0,1.0
46.0,2.0,29.26,10.0,5172.0,295.0,111.7,1.0,1.0
35.0,2.0,12.54,19.0,5172.0,318.0,108.9,1.0,1.0
616.0,,,39.1,24196.0,,,,
205.0,,,92.1,11199.0,,,,
1412.0,2.0,10.0,10.0,3.0,3.0,100.3,1.0,1.0
417.0,2.0,10.0,10.0,3.0,3.0,97.1,2.24,1.4
311.0,2.0,18.39,10.0,24196.0,24196.0,90.6,1.0,1.0
1383.0,2.0,10.0,10.0,17329.0,14136.0,84.3,1.0,1.0
160.0,12.0,42.72,48.0,880.0,359.0,72.9,1.0,1.0
245.0,19.5,36.21,22.5,2143.0,771.0,141.4,1.0,1.0
8.0,79.5,239.25,45.1,24196.0,24196.0,10.0,1.0,5.03
319.0,120.0,195.85,33.8,24196.0,24196.0,14.5,1.44,3.98
1017.0,2.0,10.0,20.6,24196.0,24196.0,93.6,1.0,1.0
563.0,3.7,20.9,10.0,1320.0,630.0,,,
220.0,58.56,89.37,22.0,120.0,75.0,,,
1677.0,150.0,384.25,38.6,2419600.0,2419600.0,10.0,2.02,32.26
1676.0,86.0,240.0,35.8,2419600.0,2419600.0,10.0,1.0,1.0
980.0,95.4,116.22,44.0,2400.0,2400.0,10.0,1.21,8.2
1675.0,176.25,264.41,105.0,2419600.0,2419600.0,10.8,1.0,7.63
1674.0,123.75,187.64,70.4,241960.0,241960.0,,1.0,2.12
982.0,65.0,146.9,105.8,241960.0,241960.0,10.0,1.0,2.54
1335.0,98.2,141.42,140.0,2400.0,1100.0,10.0,1.2,5.15
1327.0,65.52,120.33,344.0,2400.0,240.0,12.0,1.28,5.88
1099.0,16.08,32.64,52.0,2400.0,460.0,53.0,1.0,1.0
1329.0,54.0,93.48,148.0,2400.0,460.0,22.8,1.18,4.88
1319.0,47.28,70.08,56.0,2400.0,1100.0,39.5,1.0,1.0
981.0,46.2,70.56,68.0,2400.0,460.0,10.7,1.0,1.0
1345.0,45.24,74.88,52.0,2400.0,2400.0,25.7,1.0,1.0
1344.0,30.3,75.36,112.0,2400.0,1100.0,23.5,1.0,1.0
403.0,17.2,54.51,62.1,24196.0,24196.0,58.9,1.0,1.0
1334.0,35.04,51.36,36.0,1100.0,460.0,10.0,1.0,1.0
1346.0,55.56,83.61,74.0,2400.0,2400.0,10.0,1.0,1.0
1340.0,54.0,67.2,70.0,2400.0,2400.0,37.8,1.0,1.0
1347.0,86.0,101.15,48.0,2400.0,2400.0,10.0,1.0,1.0
1348.0,40.2,55.68,68.0,2400.0,2400.0,10.0,1.0,1.0
109.0,7.2,44.08,43.1,6131.0,5172.0,36.6,1.0,1.0
958.0,47.4,61.92,44.0,120.0,39.0,,,
957.0,20.82,38.4,16.0,460.0,240.0,,,
1593.0,15.33,27.36,20.0,15.0,7.0,53.0,1.0,1.0
234.0,21.9,35.04,20.0,2400.0,460.0,,,
438.0,93.91,162.84,38.0,460.0,150.0,,,
538.0,81.61,144.71,44.0,1100.0,120.0,,,
978.0,50.5,88.44,61.2,241960.0,241960.0,10.0,1.0,1.0
990.0,98.6,132.93,102.0,150.0,28.0,38.6,1.0,1.0
1307.0,13.74,24.13,34.0,120.0,120.0,47.1,1.0,1.0
1050.0,14.22,30.16,80.0,20.0,9.0,59.7,1.0,1.0
1351.0,45.72,70.99,62.0,2400.0,240.0,49.2,1.0,1.0
1350.0,49.08,72.38,18.0,2400.0,460.0,30.3,1.0,1.0
1559.0,4.72,15.05,10.0,959.0,464.0,96.4,1.0,1.0
966.0,2.0,10.0,114.2,11199.0,85.0,,,
1318.0,2.0,118.26,92.3,24196.0,24196.0,,1.0,1.0
42.0,22.2,67.15,182.8,2419600.0,1732900.0,65.6,1.0,1.0
993.0,19.6,57.15,481.0,307600.0,155300.0,36.6,1.0,1.0
1320.0,22.2,98.18,693.0,241960.0,241960.0,21.2,1.0,1.0
195.0,2.0,69.03,34.5,24196.0,24196.0,14.7,1.0,1.0
1321.0,12.3,72.97,44.9,24196.0,24196.0,31.5,1.0,1.0
973.0,22.6,77.33,47.7,98040.0,48840.0,97.0,1.0,1.0
212.0,73.0,341.79,241.5,547500.0,517200.0,95.5,1.0,1.96
1317.0,81.0,149.21,198.0,488400.0,270000.0,10.7,1.0,1.0
1316.0,95.5,146.38,206.5,241960.0,241960.0,10.0,1.0,1.65
1600.0,77.5,145.36,309.5,241960.0,241960.0,13.9,1.0,1.48
1523.0,29.6,78.62,191.2,228600.0,95900.0,31.8,1.0,1.0
213.0,187.5,317.44,758.0,24196.0,24196.0,10.0,1.0,1.14
1569.0,284.75,388.72,784.0,1413600.0,1413600.0,10.0,1.0,7.69
1565.0,105.5,1190.0,239.5,2419600.0,2419600.0,10.0,1.0,100.0
16.0,213.75,3253.75,1207.0,241960.0,241960.0,19.6,2.49,15.38
13.0,106.0,931.5,178.8,2419600.0,2419600.0,10.0,1.0,1.0
624.0,94.0,152.26,27.7,2419600.0,2419600.0,46.6,2.55,1.0
623.0,134.0,1731.5,479.0,241960.0,241960.0,20.9,2.55,31.25
18.0,106.5,466.75,65.4,2419600.0,2419600.0,10.0,1.0,2.16
1566.0,100.5,726.75,177.5,2419600.0,2419600.0,13.2,3.98,24.39
377.0,2.0,24.24,10.0,24196.0,24196.0,55.1,1.0,1.0
1298.0,144.25,196.87,104.2,96000.0,35500.0,10.0,1.0,5.81
1568.0,113.0,197.38,100.6,461100.0,115300.0,10.0,1.0,1.68
22.0,22.7,26.04,10.0,2419600.0,2419600.0,24.7,1.0,1.0
737.0,10.3,66.82,86.0,12230.0,4570.0,47.2,1.0,1.0
1310.0,2.0,96.72,304.4,15530.0,13330.0,30.2,1.0,1.0
1323.0,9.9,28.29,130.5,3255.0,794.0,46.2,1.0,1.0
1324.0,8.4,36.13,99.4,17329.0,9804.0,40.7,1.0,1.0
6.0,2.0,11.65,30.5,15531.0,12997.0,42.3,1.0,1.0
997.0,8.8,12.66,107.6,24196.0,24196.0,63.9,1.0,1.0
1322.0,2.0,10.0,13.5,24196.0,24196.0,68.2,1.0,1.0
1309.0,2.0,26.16,16.1,2481.0,41.0,152.2,1.0,1.0
938.0,,,,,,,,
940.0,,,,,,,,
939.0,,,,,,,,
941.0,,,,,,,,
942.0,,,,,,,,
944.0,,,,,,,,
943.0,,,,,,,,
1583.0,65.0,101.59,24.0,24196.0,24196.0,,1.0,1.0
1325.0,7.8,19.14,36.5,9804.0,3076.0,53.0,1.0,1.0
290.0,13.3,31.44,60.0,24196.0,24196.0,56.4,1.0,1.0
1330.0,8.2,12.48,72.2,24196.0,15531.0,48.2,1.0,1.0
79.0,8.2,17.47,37.3,2755.0,422.0,60.1,1.0,1.0
1314.0,8.1,16.64,76.1,24196.0,3873.0,27.2,1.0,1.0
1608.0,12.4,28.42,183.4,7030.0,1990.0,43.5,1.0,1.0
1315.0,66.0,88.44,21.4,5475.0,683.0,46.0,1.0,1.0
50.0,36.8,85.44,57.5,6488.0,1624.0,86.3,1.0,
501.0,2.0,27.98,10.0,98.0,10.0,,,
499.0,4.42,23.74,29.3,241.0,62.0,,,
498.0,2.0,30.49,19.2,86.0,3.0,,,
500.0,2.0,27.14,14.8,122.0,10.0,,,
1312.0,21.5,27.59,778.6,141360.0,111990.0,94.0,1.0,1.0
21.0,2.0,10.0,10.0,439.0,292.0,83.3,1.0,1.0
1567.0,488.0,614.87,88.0,24196.0,24196.0,,1.0,19.61
614.0,,,16.0,40.0,,,,
615.0,,,37.9,90.0,,,,
1104.0,2.0,22.88,860.6,24000.0,210.0,48.3,1.0,1.0
1393.0,2.0,17.88,1125.3,24000.0,750.0,51.1,1.0,1.0
1394.0,2.0,28.71,1308.7,24000.0,90.0,54.6,1.0,1.0
264.0,2.0,43.71,790.6,24000.0,24000.0,51.8,1.0,1.0
1402.0,2.0,29.54,380.0,4600.0,1500.0,54.4,1.0,1.0
1401.0,2.0,32.88,396.3,11000.0,2400.0,54.8,1.0,1.0
1400.0,2.0,24.96,438.1,24000.0,11000.0,54.9,1.0,1.0
1399.0,2.0,38.29,372.7,11000.0,4600.0,56.0,1.0,1.0
1398.0,2.0,28.29,346.8,24000.0,24000.0,55.0,1.0,1.0
1029.0,2.0,23.71,1262.0,24000.0,24000.0,62.8,1.0,1.0
1013.0,2.0,39.13,1325.0,24000.0,430.0,53.8,1.0,1.0
1396.0,2.0,77.46,2540.0,24000.0,24000.0,68.7,1.0,1.0
1395.0,2.0,39.13,462.2,24000.0,24000.0,55.6,1.0,1.0
1392.0,2.0,40.38,482.8,24000.0,24000.0,51.6,1.0,1.0
1397.0,2.0,38.71,2618.4,24000.0,24000.0,55.4,1.0,1.0
547.0,,,13.0,40.0,,,,
548.0,,,10.0,1500.0,,,,
556.0,3.86,21.21,10.0,3.0,3.0,,,
557.0,5.43,29.54,13.0,3.0,3.0,,,
1046.0,2.0,43.29,51.0,24000.0,24000.0,71.2,1.0,1.0
379.0,,,19.0,750.0,,,,
380.0,,,18.0,1200.0,,,,
1172.0,,,10.0,24196.0,,,,
1713.0,2.0,52.04,178.0,24000.0,24000.0,79.4,1.0,1.0
985.0,2.0,15.79,22.0,24000.0,24000.0,81.3,1.0,1.0
1021.0,2.0,13.71,30.0,24000.0,24000.0,79.7,1.0,1.0
828.0,2.0,27.88,10.0,750.0,430.0,,,
830.0,2.0,26.63,11.0,3.0,3.0,,,
829.0,2.0,28.29,10.0,3.0,3.0,,,
831.0,2.0,30.79,40.0,1500.0,750.0,,,
1102.0,2.14,13.29,386.7,24000.0,24000.0,81.3,1.0,1.0
270.0,2.29,45.38,26.0,230.0,90.0,47.6,1.0,1.0
271.0,2.57,48.71,212.0,2400.0,430.0,39.9,1.0,1.0
767.0,,,300.0,1500.0,,,,
1105.0,2.0,45.79,412.0,11000.0,4600.0,30.4,1.0,1.0
1022.0,2.0,13.71,710.0,24000.0,930.0,30.9,1.0,1.0
1464.0,2.0,18.29,765.5,11000.0,4600.0,53.7,1.0,1.0
1465.0,2.0,16.63,506.1,11000.0,2400.0,57.4,1.0,1.0
1466.0,2.0,30.79,421.3,11000.0,4600.0,58.3,1.0,1.0
496.0,2.0,29.54,14.0,930.0,230.0,,,
497.0,2.0,31.63,11.0,2400.0,1500.0,,,
707.0,2.0,36.63,2312.5,24000.0,24000.0,57.2,1.0,1.0
1573.0,2.0,31.21,48.0,24000.0,24000.0,68.1,1.0,1.0
1574.0,2.0,40.38,53.0,24000.0,24000.0,70.3,1.0,1.0
818.0,237.75,303.32,136.0,2400.0,2400.0,30.5,1.0,1.0
695.0,25.38,44.74,26.0,210.0,210.0,,,
1595.0,19.56,40.94,12.0,2400.0,460.0,44.3,1.0,1.0
743.0,12.72,17.14,26.0,460.0,460.0,41.5,1.0,1.0
409.0,132.31,163.39,14.0,2400.0,2400.0,33.0,1.0,1.0
745.0,15.57,30.01,10.0,2400.0,1100.0,61.0,1.0,1.0
643.0,23.28,50.34,10.0,43.0,43.0,,,
565.0,2.0,24.96,29.0,3.0,3.0,,,
918.0,2.57,27.88,13.0,3.0,3.0,,,
423.0,16.98,29.04,30.0,240.0,240.0,,,
1668.0,23.28,35.7,18.0,150.0,75.0,,,
1103.0,4.2,47.67,11.2,24196.0,11199.0,85.6,1.0,1.0
1108.0,24.6,34.27,16.0,2400.0,2400.0,67.3,1.0,1.0
964.0,27.9,34.75,10.0,23.0,23.0,,,
965.0,19.98,26.66,12.0,210.0,120.0,,,
1109.0,46.68,61.88,38.0,2400.0,1100.0,74.9,1.0,1.0
1522.0,11.1,22.26,26.0,240.0,240.0,60.1,1.0,1.0
989.0,13.05,25.17,16.0,460.0,460.0,72.9,1.0,1.0
845.0,104.11,198.46,56.0,2400.0,2400.0,,,
844.0,60.72,134.85,18.0,2400.0,2400.0,,,
843.0,27.12,35.82,16.0,2400.0,1100.0,,,
842.0,408.0,588.7,10.0,2400.0,1100.0,,,
1648.0,3.92,10.0,22.0,3.0,3.0,107.4,1.0,1.0
702.0,3.94,10.0,16.0,3.0,3.0,103.2,1.0,1.0
386.0,2.15,10.0,18.0,52.0,41.0,116.3,1.0,1.0
166.0,4.92,10.0,10.0,3.0,3.0,93.5,1.0,1.0
209.0,4.36,10.0,10.0,20.0,10.0,106.1,1.0,1.0
9.0,9.3,387.44,48.0,24196.0,24196.0,10.0,1.0,2.2
1667.0,2.0,26.21,10.0,280.0,210.0,65.3,1.0,1.0
1158.0,,,10.0,24196.0,,,,
1180.0,2.0,11.7,14.2,10462.0,262.0,75.2,1.0,1.0
48.0,2.0,10.0,10.0,19863.0,9804.0,84.1,1.0,1.0
535.0,6.2,23.41,10.0,24196.0,24196.0,,,
536.0,4.02,38.18,10.0,1439.0,52.0,,,
537.0,4.46,32.97,10.0,1725.0,235.0,,,
1178.0,2.0,45.79,10.0,24000.0,4600.0,62.2,1.0,1.0
1174.0,2.0,41.21,10.0,230.0,30.0,65.8,1.0,1.0
1176.0,2.0,39.13,10.0,24000.0,11000.0,65.1,1.0,1.0
1177.0,2.0,24.54,10.0,11000.0,2100.0,65.9,1.0,1.0
889.0,2.0,29.13,10.0,3.0,3.0,,,
890.0,2.0,28.71,10.0,3.0,3.0,,,
891.0,2.0,30.38,10.0,3.0,3.0,,,
1159.0,2.0,26.21,10.0,90.0,3.0,50.1,1.0,1.0
1161.0,2.0,31.63,10.0,230.0,3.0,,,
1160.0,2.0,29.96,10.0,40.0,3.0,55.1,1.0,1.0
1162.0,2.0,27.04,10.0,230.0,90.0,57.7,1.0,1.0
890.0,2.0,25.79,10.0,40.0,3.0,,,
1163.0,2.0,28.29,10.0,230.0,40.0,52.7,1.0,1.0
1164.0,2.0,29.54,10.0,230.0,90.0,52.8,1.0,1.0
1165.0,2.0,16.63,10.0,230.0,40.0,57.3,1.0,1.0
1166.0,2.0,19.96,10.0,230.0,90.0,50.3,1.0,1.0
1167.0,2.0,18.29,10.0,430.0,230.0,52.9,1.0,1.0
1168.0,2.0,29.96,10.0,4600.0,2400.0,66.5,1.0,1.0
853.0,2.0,43.71,10.0,430.0,150.0,,,
1170.0,2.0,32.04,10.0,40.0,3.0,66.7,1.0,1.0
1171.0,2.0,34.54,10.0,140.0,90.0,68.3,1.0,1.0
854.0,2.0,27.04,10.0,90.0,40.0,,,
856.0,2.0,31.21,10.0,140.0,90.0,,,
852.0,2.0,33.29,10.0,3.0,3.0,,,
855.0,2.0,29.96,10.0,3.0,3.0,,,
1175.0,2.0,28.71,10.0,930.0,430.0,60.4,1.0,1.0
1173.0,2.0,29.54,10.0,390.0,230.0,57.7,1.0,1.0
1169.0,,,10.0,218.0,,,,
1179.0,2.0,43.29,10.0,24000.0,24000.0,64.2,1.0,1.0
1311.0,11.1,42.03,20.1,5172.0,199.0,33.6,1.0,1.0
1256.0,14.3,18.39,27.4,24196.0,12033.0,39.4,1.0,1.0
1336.0,9.2,56.31,300.0,20980.0,8200.0,58.6,1.0,1.0
1337.0,25.4,53.23,305.0,48840.0,19040.0,55.3,1.0,1.0
1709.0,19.1,63.23,477.5,34480.0,10860.0,52.9,1.0,1.0
1328.0,16.7,26.75,791.4,241960.0,193290.0,62.4,1.0,1.0
1338.0,17.4,68.87,80.3,17329.0,15531.0,107.4,1.0,1.0
1339.0,15.4,48.62,75.6,12590.0,9600.0,50.2,1.0,1.0
24.0,16.7,72.62,159.8,68670.0,64880.0,41.8,1.0,1.0
23.0,12.0,48.51,78.7,24196.0,24196.0,16.3,1.0,1.0
1343.0,17.4,37.33,10.1,14136.0,2187.0,83.4,1.0,1.0
1342.0,18.1,21.74,30.3,5794.0,373.0,82.2,1.0,1.0
1341.0,37.4,110.15,1485.7,155310.0,141360.0,94.0,1.0,1.0
1218.0,15.7,19.23,262.3,15390.0,1600.0,82.0,1.0,1.0
1217.0,15.2,64.77,323.7,17930.0,2560.0,82.0,1.0,1.0
986.0,14.8,19.23,388.7,17850.0,2690.0,91.4,1.0,1.0
250.0,2.0,10.0,530.5,48840.0,4080.0,62.9,1.0,1.0
1561.0,2.0,10.0,10.0,1467.0,813.0,101.8,1.0,1.0
428.0,2.0,10.0,10.0,578.0,63.0,101.6,1.0,1.0
1333.0,23.5,41.44,119.8,14136.0,8664.0,41.1,1.0,1.0
1332.0,23.7,51.51,67.9,24196.0,6131.0,71.0,1.0,1.0
1313.0,15.7,21.84,73.7,24196.0,24196.0,65.6,1.0,1.0
1331.0,20.2,35.18,61.9,24196.0,14136.0,100.9,1.0,1.0
1326.0,11.4,111.38,243.4,32550.0,14210.0,49.3,1.0,1.0
1130.0,9.2,56.82,92.8,24196.0,15531.0,76.0,,1.0
230.0,36.4,56.72,111.2,224700.0,57600.0,41.1,1.0,1.0
568.0,2.0,10.0,13.2,288.0,52.0,,,
567.0,2.0,10.0,15.2,3.0,3.0,,,
569.0,2.0,10.0,35.4,3.0,3.0,,,
481.0,2.0,15.34,,1019.0,364.0,,,
473.0,11.8,39.46,15.5,504.0,3.0,,,
732.0,2.0,51.77,11.0,379.0,41.0,,,
477.0,19.2,56.97,27.7,1870.0,200.0,,,
736.0,12.9,37.92,13.3,2046.0,10.0,,,
478.0,16.4,66.13,49.5,4710.0,310.0,,,
480.0,14.3,63.64,30.3,213.0,20.0,,,
479.0,2.0,19.6,14.8,1296.0,10.0,,,
476.0,2.0,33.74,17.4,1396.0,3.0,,,
731.0,11.5,37.67,41.3,1616.0,3.0,,,
471.0,2.0,10.0,32.3,708.0,10.0,,,
735.0,11.7,45.18,18.2,1100.0,100.0,,,
474.0,12.1,51.51,68.5,980.0,200.0,,,
734.0,2.0,11.93,57.5,4960.0,100.0,,,
475.0,2.0,45.18,37.1,3873.0,3.0,,,
730.0,13.1,33.56,76.4,860.0,200.0,,,
733.0,5.0,10.0,61.3,776.0,189.0,,,
472.0,2.0,10.0,24.3,146.0,86.0,,,
505.0,2.0,10.0,10.0,10.0,3.0,,,
507.0,2.0,10.0,10.0,211.0,146.0,,,
506.0,2.0,10.0,10.0,3.0,3.0,,,
812.0,15.4,21.84,11.2,85.0,41.0,,,
813.0,2.0,10.0,10.0,262.0,41.0,,,
814.0,2.0,10.0,10.0,336.0,3.0,,,
425.0,2.0,10.0,10.0,31.0,20.0,,,
426.0,2.0,10.0,10.0,98.0,51.0,71.7,1.0,1.0
644.0,2.0,10.0,10.0,185.0,161.0,,,
688.0,20.5,74.0,174.4,241960.0,241960.0,78.9,1.0,1.0
687.0,21.8,55.95,215.4,24196.0,24196.0,41.4,1.0,1.0
241.0,10.1,126.64,38.3,19863.0,633.0,,,
468.0,17.9,102.28,51.8,24196.0,142.0,,,
470.0,7.1,81.69,86.6,8840.0,200.0,,,
469.0,78.6,105.62,33.0,4106.0,3.0,,,
298.0,4.4,23.74,398.3,24196.0,24196.0,78.7,1.0,1.0
1308.0,6.96,22.9,76.2,24196.0,24196.0,79.0,1.0,1.0
1056.0,9.48,11.87,70.2,24196.0,24196.0,79.2,1.0,1.0
