,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
count,1390.0,1400.0,1600.0,1610.0,1366.0,1043.0,956.0,957.0
mean,26.672368345323743,80.9288873582143,159.38450125,1160425272.8832297,100057754.07192533,67.55186960690317,1.0645596234309624,1.950762800417973
std,93.42048032792037,328.94297423104507,1514.495251345608,33021976785.179375,1814689890.6364264,30.307757219115487,0.4599033652212686,5.799214214477077
min,2.0,10.0,10.0,3.0,3.0,10.0,1.0,1.0
25%,2.0,11.65,11.174999999999999,256.0,43.0,47.4,1.0,1.0
50%,4.8,26.705,25.0,2400.0,532.5,70.6,1.0,1.0
75%,15.99,51.739999999999995,71.1,24000.0,11000.0,91.05,1.0,1.0
max,1680.0,7900.0,57880.0,1204500000000.0,46500005500.0,152.7,9.17,100.0
