DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
10.0,1.0,1296.0,1.0
10.0,1.0,177.0,1.0
15.81,1.0,2046.0,1.0
11.65,1.0,528.0,1.0
10.82,1.0,798.0,1.0
145.1,1.0,203.0,1.0
73.29,1.0,24000.0,1.0
103.29,1.0,24000.0,1.0
107.88,1.0,24000.0,1.0
92.46,1.0,24000.0,1.0
109.13,1.0,24000.0,1.0
70.38,1.0,390.0,1.0
72.04,1.0,930.0,1.0
68.29,1.0,24000.0,1.0
124.54,1.0,150.0,1.76
63.71,1.0,24000.0,1.0
167.94,1.0,24000.0,1.0
59.13,1.0,930.0,1.0
55.38,1.0,24000.0,1.0
67.46,1.0,11000.0,1.0
127.04,1.0,24000.0,1.0
106.21,1.0,230.0,1.0
64.54,1.0,24000.0,1.0
117.46,1.0,430.0,1.0
31.44,1.0,1210.0,1.0
11.7,1.0,3.0,1.0
10.0,1.0,24196.0,1.0
15.88,1.0,31.0,1.0
14.21,1.0,2282.0,1.0
12.54,1.0,41.0,1.0
10.87,1.0,20.0,1.0
19.32,1.0,24196.0,1.0
18.48,1.0,15531.0,1.0
19.32,1.0,12033.0,1.0
17.64,1.0,6131.0,1.0
10.0,1.0,278.0,1.0
20.16,1.0,771.0,1.0
67.46,1.0,24000.0,1.0
24.27,1.0,2100.0,1.0
65.79,1.0,24000.0,1.0
32.88,1.0,4600.0,1.0
35.38,1.0,11000.0,1.0
81.63,1.0,1500.0,1.0
86.63,1.0,24000.0,1.0
72.46,1.0,24000.0,1.0
77.46,1.0,1500.0,1.0
10.0,1.0,43.0,1.0
42.87,1.0,1100.0,1.0
33.04,1.0,1100.0,1.0
33.73,1.0,11.0,1.0
49.57,1.0,2400.0,1.0
38.77,1.0,2400.0,1.0
38.63,1.0,210.0,1.0
29.18,1.0,75.0,1.0
26.77,1.0,2400.0,1.0
37.51,1.0,2400.0,1.0
59.98,1.0,2400.0,1.0
85.86,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
86.62,1.0,460.0,1.0
20.92,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
32.64,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,460.0,1.0
12.49,1.0,240.0,1.0
41.05,1.0,210.0,1.0
47.13,1.0,460.0,1.0
19.01,1.0,150.0,1.0
36.71,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,43.0,1.0
30.77,1.0,210.0,1.0
16.11,1.0,93.0,1.0
43.56,1.0,2400.0,1.0
52.69,1.0,2400.0,1.0
39.48,1.0,1100.0,1.0
10.0,1.0,52.0,1.0
26.0,1.0,2100.0,1.0
10.14,1.0,90.0,1.0
10.0,1.0,4600.0,1.0
32.69,1.0,82.5,1.0
40.87,1.0,2504.0,1.0
49.72,1.0,12141.0,1.0
10.0,1.0,63.0,1.0
42.11,1.0,7.0,1.0
796.11,25.64,19505980.0,2.63
10.0,1.2,21.0,1.0
10.0,1.0,161.0,1.0
266.75,1.0,241960.0,1.0
10.0,1.0,63.0,1.0
10.0,1.0,3448.0,1.0
65.03,1.0,259.0,1.0
15.73,1.0,1842.0,1.0
10.0,0.854,41.0,0.9906
173.64,5.5412,241960.0,1.2477
64.59,1.034,3.0,1.0014
87.1517,1.8788,54831.1277,1.0526
87.1505,1.8788,54833.522,1.0526
87.0576,1.8798,55772.8392,1.0527
87.0627,1.8797,55770.3994,1.0527
87.1654,1.8787,54824.4589,1.0526
87.1543,1.8787,54829.8264,1.0526
87.158,1.8787,54828.0373,1.0526
87.1607,1.8787,54827.0084,1.0526
87.2287,1.8785,55689.5604,1.0526
87.172,1.8786,54821.2058,1.0526
87.294,1.8777,54761.8371,1.0525
87.2218,1.8783,54858.5008,1.0526
87.1659,1.8787,54825.2229,1.0526
87.1507,1.8788,54831.6156,1.0526
87.159,1.8787,54827.5493,1.0526
87.1941,1.8784,54810.4706,1.0526
87.1507,1.8788,54831.6156,1.0526
87.1852,1.8785,54820.1782,1.0526
87.2158,1.8783,54799.8981,1.0526
87.171,1.8786,54821.6937,1.0526
87.1505,1.8788,54833.1718,1.0526
87.1874,1.8785,54813.9571,1.0526
87.2175,1.8783,54799.0848,1.0526
87.2609,1.8779,54777.9398,1.0525
10.0,0.9096,28.0,0.9945
18.06,0.9592,2400.0,0.9974
22.72,0.9927,1100.0,0.9997
21.44,0.9518,2400.0,0.9967
43.13,1.0086,460.0,1.0003
27.96,0.8848,2400.0,0.9918
231.23,1.95,2419600.0,1.6
10.0,0.8542,3.0,0.9906
12.54,0.928,31.0,0.9957
16.72,0.8615,3.0,0.9909
10.0,0.8539,3.0,0.9906
10.0,0.8542,3.0,0.9906
18.39,0.8638,3.0,0.991
10.0,0.9345,31.0,0.9907
17.56,0.9453,10.0,0.9911
10.0,0.8541,3.0,0.9906
10.0,0.854,3.0,0.9906
10.0,0.8542,3.0,0.9906
87.1549,1.879,55725.5069,1.0526
87.3819,1.8772,55133.6547,1.0525
20.9,0.9253,630.0,0.9951
89.37,2.844,75.0,1.1277
187.64,2.12,241960.0,1.0
61.92,2.4372,39.0,1.1001
38.4,1.5191,240.0,1.0363
35.04,1.5517,460.0,1.0387
162.84,4.1152,150.0,1.2146
144.71,3.6812,120.0,1.1847
10.0,0.8514,85.0,0.9904
118.26,1.0,24196.0,1.0
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
101.59,1.0,24196.0,1.0
85.44,1.8783,1624.0,1.0
27.98,0.875,10.0,0.9914
23.74,0.951,62.0,0.9969
30.49,0.8777,3.0,0.9915
27.14,0.8739,10.0,0.9914
614.87,19.61,24196.0,1.0
87.1706,1.8786,54823.2959,1.0526
87.2435,1.8781,54789.6199,1.0525
87.1605,1.8787,54828.1755,1.0526
87.1449,1.8788,54889.8561,1.0526
21.21,0.9296,3.0,0.9955
29.54,0.9918,3.0,0.9996
87.1779,1.8786,54846.0387,1.0526
87.1728,1.8786,54865.1724,1.0526
87.0576,1.8798,55772.8392,1.0527
27.88,0.8759,430.0,0.9915
26.63,0.8734,3.0,0.9914
28.29,0.8753,3.0,0.9915
30.79,0.8794,750.0,0.9916
88.1137,1.8716,54418.1596,1.0521
29.54,0.8772,230.0,0.9915
31.63,0.8827,1500.0,0.9917
44.74,1.6792,210.0,1.0474
50.34,1.6151,43.0,1.0427
24.96,0.8711,3.0,0.9913
27.88,0.8939,3.0,0.9928
29.04,1.3791,240.0,1.0268
35.7,1.5981,75.0,1.042
34.75,1.7521,23.0,1.0529
26.66,1.4771,120.0,1.0338
198.46,4.5037,2400.0,1.2404
134.85,2.9747,2400.0,1.1351
35.82,1.7295,1100.0,1.0511
588.7,15.1511,1100.0,1.9756
87.0576,1.8798,55772.8392,1.0527
23.41,1.0681,24196.0,1.002
38.18,0.9546,52.0,0.9967
32.97,0.9638,235.0,0.9975
29.13,0.8763,3.0,0.9915
28.71,0.8758,3.0,0.9915
30.38,0.8778,3.0,0.9916
31.63,0.8792,3.0,0.9916
25.79,0.8725,3.0,0.9913
43.71,0.8935,150.0,0.9922
27.04,0.874,40.0,0.9914
31.21,0.8789,90.0,0.9916
33.29,0.8811,3.0,0.9917
29.96,0.8773,3.0,0.9915
87.1498,1.8788,54839.9802,1.0526
56.82,1.0,15531.0,1.012
10.0,0.8542,52.0,0.9906
10.0,0.8541,3.0,0.9906
10.0,0.8537,3.0,0.9906
15.34,0.8566,364.0,0.9905
39.46,1.217,3.0,1.0151
51.77,0.9025,41.0,0.9926
56.97,1.4857,200.0,1.0334
37.92,1.2521,10.0,1.0176
66.13,1.402,310.0,1.0272
63.64,1.3286,20.0,1.0221
19.6,0.8651,10.0,0.991
33.74,0.8814,3.0,0.9917
37.67,1.2043,3.0,1.0143
10.0,0.8537,10.0,0.9906
45.18,1.2204,100.0,1.0151
51.51,1.2404,200.0,1.0163
11.93,0.8553,100.0,0.9906
45.18,0.894,3.0,0.9922
33.56,1.253,200.0,1.0178
10.0,0.9542,189.0,0.9976
10.0,0.8541,86.0,0.9906
10.0,0.8542,3.0,0.9906
10.0,0.8545,146.0,0.9906
10.0,0.8542,3.0,0.9906
21.84,1.3177,41.0,1.0228
10.0,0.8543,41.0,0.9906
10.0,0.8542,3.0,0.9906
10.0,0.8542,20.0,0.9906
10.0,0.8546,161.0,0.9906
126.64,1.2603,633.0,1.0152
102.28,1.4921,142.0,1.0324
81.69,1.1065,200.0,1.0059
105.62,3.5347,3.0,1.1758
10.0,0.8542,63.0,0.9906
12.72,1.1121,1137.0,1.0085
10.0,0.8542,52.0,0.9906
10.0,0.8543,52.0,0.9906
105.44,1.0607,185.0,1.002
10.0,0.8544,109.0,0.9906
14.21,0.9271,121.0,0.9956
69.13,1.1172,62.0,1.0071
87.1668,1.8787,54967.0504,1.0526
87.2513,1.878,54784.8284,1.0525
30.755,0.9932,3.0,0.9997
24.24,1.1188,3.0,1.0087
12.54,1.1558,3.0,1.0117
87.1411,1.8789,54928.5664,1.0526
10.0,1.0287,3.0,1.0029
10.0,0.8542,20.0,0.9906
10.0,0.8542,3.0,0.9906
10.0,0.8542,10.0,0.9906
72.03,0.9258,10.0,0.9935
10.0,0.8541,3.0,0.9906
10.97,0.8553,3.0,0.9906
87.2307,1.8782,54807.1009,1.0526
87.1493,1.8788,54851.4041,1.0526
87.1797,1.8786,54878.9952,1.0526
87.1676,1.8787,54911.4831,1.0526
10.0,0.9077,253.0,0.9943
87.1621,1.8788,55066.1839,1.0526
10.0,0.8542,3.0,0.9906
10.0,1.0139,3.0,1.0018
16.64,0.8591,31.0,0.9908
87.343,1.8773,54758.4654,1.0525
87.2498,1.878,54794.1796,1.0525
87.3455,1.8773,54755.3038,1.0525
87.248,1.8781,54825.3142,1.0525
87.2275,1.8782,54964.8578,1.0526
87.1907,1.8785,54822.3469,1.0526
87.1872,1.8785,54815.63,1.0526
87.1981,1.8784,54821.5626,1.0526
87.145,1.8788,54917.4541,1.0526
87.1489,1.8788,54848.9283,1.0526
87.4703,1.8778,58976.0726,1.0526
87.8588,1.8737,55045.233,1.0523
2381.18,9.9833,125770.5782,1.5103
101.74,1.9565,79644.0988,1.0574
162.83,3.5666,964289.2184,1.169
196.51,1.0,4600.0,1.0
33.71,1.24,230.0,1.0169
71.21,0.9253,230.0,0.9935
75.38,0.9802,70.0,0.9972
61.63,0.914,110.0,0.993
63.71,0.9165,90.0,0.9931
895.88,1.0,24000.0,1.63
1426.06,13.51,230.0,9.17
18.67,1.3031,78165.1617,1.0146
170.16,4.3827,80694.4294,1.2302
73.71,1.6783,24000.0,1.0432
39.21,1.4845,90.0,1.034
185.09,5.3598,24000.0,1.0
225.09,6.0042,24000.0,1.0
2800.0,57.7007,34500.0,1.0
721.67,17.24,43520.0,2.73
32.37,1.5666,15.0,1.0399
10.0,0.8535,10.0,0.9906
10.0,0.8544,97.0,0.9906
87.1974,1.8784,54808.8441,1.0526
87.2138,1.8783,54804.2128,1.0526
87.2108,1.8783,54802.3379,1.0526
87.2108,1.8783,54802.5714,1.0526
87.2241,1.8782,54795.9874,1.0526
87.2241,1.8782,54796.6099,1.0526
88.0727,1.8719,54382.6907,1.0521
87.2374,1.8781,54790.1037,1.0525
87.174,1.8786,54820.4633,1.0526
87.4948,1.8762,54664.0821,1.0524
87.2175,1.8783,54799.0848,1.0526
87.2642,1.8779,54776.3133,1.0525
87.2776,1.8778,54769.8071,1.0525
87.2342,1.8781,54790.9521,1.0526
87.2041,1.8784,54805.591,1.0526
87.2175,1.8783,54799.0848,1.0526
87.2542,1.878,54781.1929,1.0525
87.3144,1.8775,54751.9152,1.0525
87.2308,1.8782,54792.5787,1.0526
87.2676,1.8779,54774.6868,1.0525
87.26,1.878,54818.9918,1.0525
87.3377,1.8774,54741.3075,1.0525
87.2901,1.8777,54804.353,1.0525
87.2992,1.8777,54776.2008,1.0525
87.2342,1.8781,54790.9521,1.0526
87.2242,1.8782,54795.8318,1.0526
25.7,1.308,240.0,1.0219
23.91,1.3058,120.0,1.0218
26.84,1.4832,23.0,1.0342
28.3,1.521,3.0,1.0368
24.4,1.3252,3.0,1.0232
14.49,0.8619,1100.0,0.9908
51.15,1.0202,20.0,1.0009
37.47,0.8885,1100.0,0.9919
87.1625,1.8787,54860.2372,1.0526
87.2272,1.8782,54800.1506,1.0526
87.1032,1.8793,55311.9731,1.0526
87.1657,1.8787,54835.0288,1.0526
87.1596,1.8787,54837.9795,1.0526
87.1865,1.8785,54876.0304,1.0526
87.1487,1.8788,54851.1069,1.0526
87.1039,1.8793,55304.9702,1.0526
87.2706,1.8779,54776.5616,1.0525
19.2,1.3039,30.0,1.0219
50.38,1.0,94599.5109,1.0
67.04,1.2655,3.0,1.0176
136.63,2.4727,110.0,1.1
50.38,1.292,210.0,1.02
33.71,1.0995,2400.0,1.0067
35.79,1.0683,40.0,1.0048
32.88,1.1073,230.0,1.0076
69.13,1.2809,150.0,1.0186
140.3802,1.0,94495.6669,1.0
143.7559,1.0,95460.3249,1.0
143.7559,1.0,95460.3249,1.0
22.9349,1.0,60933.6079,1.0
166.1166,3.5016,102363.61,1.0836
100.8536,2.205,83713.5557,1.0598
158.24,3.3451,100112.7414,1.0807
19.8406,1.0,60049.3381,1.0
28.2798,1.0,62460.9831,1.0
33.3433,1.0,63907.97,1.0
62.1771,1.0,72147.757,1.0
97.3404,1.0,82196.2776,1.0
72.8668,1.0,75202.5073,1.0
25.1854,1.0,61576.7132,1.0
40.5134,1.0061,66470.2942,1.0378
38.5443,0.967,65907.5771,1.0371
41.0,1.0,82148.7075,1.0493
68.0,1.0,39933.2371,1.0346
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
80.0369,1.7914,77764.8314,1.0522
75.536,1.7019,76478.6208,1.0506
105.3545,2.2944,84999.7663,1.0614
68.5034,1.5622,74468.9167,1.048
57.5324,1.3442,71333.7782,1.044
74.9734,1.6908,76317.8445,1.0504
78.771,1.7662,77403.0847,1.0517
90.0233,1.9898,80618.6113,1.0559
435.49,58.4476,21045000.0,2.3276
80.6722,1.7734,3.0,1.0528
35.2,67.3837,27550000.0,2.1081
10.0,1.0212,78018.514,0.9945
10.0,1.0324,78022.3418,0.9953
19.07,1.0,62307.6219,1.0152
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
40.3728,1.0033,66430.1001,1.0377
85.4603,1.8991,79314.6654,1.0542
40.92,1.0833,3.0,1.0056
17.64,0.9426,10.0,0.9965
87.7396,1.8749,56251.1314,1.0523
59.02,2.4248,1100.0,1.0992
441.38,12.1363,120.0,1.7688
639.15,18.0886,1100.0,2.1803
553.32,15.5052,460.0,2.0017
30.0,1.1634,2440.5,1.0113
17.97,1.0362,2072.0,1.0029
10.0,0.8552,435.0,0.9906
87.2872,1.9105,99315.75,1.0542
27.63,0.9595,10.0,0.9915
34.53,0.9692,6.0,0.9919
20.72,0.9497,3.0,0.9912
20.72,0.9497,3.0,0.9912
20.72,0.9497,9.0,0.9912
27.63,0.9595,8.0,0.9915
20.72,0.9497,8.0,0.9912
27.63,0.9595,3.0,0.9915
34.53,0.9692,3.0,0.9919
77.4536,1.8596,40.0,1.0544
77.4527,1.8596,30.0,1.0544
1622.54,32.5792,6000.0,3.2067
78.218,1.8542,24.0,1.054
78.2164,1.8541,7.0,1.054
78.218,1.8542,24.0,1.054
78.2174,1.8541,17.0,1.054
78.2195,1.8542,40.0,1.054
78.2166,1.8541,9.0,1.054
10.0,1.0,71480.3349,1.0
10.0,1.6003,45956.62,1.0369
78.3058,1.8547,985.75,1.054
96.28,1.8299,150000.0,1.048
164.755,40904.0028,150000.0,192.7598
75.64,60.9178,26500000.0,2.2105
102.1,49.2514,20120000.0,1.9682
89.88,1.8728,390000.0,1.009
10.0,3.0639,930000.0,1.0256
14.98,1.3589,210000.0,0.9987
222.08,4.7863,57.5,1.198
32.8915,0.9053,32.0,0.9897
104.525,1.5475,49955.0,1.002
76.355,1.2,2240.75,0.9987
10.0,1.0005,10000.0,0.9952
144.0,1.2241,1000.0,1.0044
10.0,26410.4288,11500000467.5,509.6908
75.54,78920.5236,4500040000.0,223.3854
29.24,106787.6381,46500005500.0,2057.8836
37.77,1.3519,160000.0,0.9954
64.8,26666.666,12000115000.0,527.5845
38.585,1.721,184650.0,1.01
24.425,53675.6261,23000000000.0,1022.4158
10.0,91014.4339,39000000000.0,1732.9797
18.79,0.9413,11635.0,0.9932
38.21,1.1837,150000.0,1.0302
11.845,1.06,11570.0,0.9894
143.345,4.2725,210000.0,1.2218
30.595,1.0029,24.0,1.0003
23.45,0.9825,3.5,0.9992
23.925,1.0052,11.5,1.0007
24.64,1.0705,7.5,1.0053
20.355,0.981,15.0,0.9992
29.405,0.9793,6.5,0.9987
22.2,1.4489,64000.0,0.9939
10.0,1.2601,75000.0,0.9742
79.8963,1.7886,77724.6373,1.0522
10.0,1.0445,120000.0,1.0023
10.0,0.9003,93000.0,1.0076
22.47,2.2359,640000.0,1.0408
22.2,1.593,120000.0,0.9955
52.53,2.0369,230000.0,1.0425
44.94,4.0288,1200000.0,1.0573
74.9,1.5008,280000.0,1.0268
83.7,1.9606,23.0,1.0006
10.0,2.6045,750000.0,1.0214
91.31,0.9703,9300.0,0.9948
53.26,0.9071,1200.0,0.9927
30.44,1.0564,4600.0,1.0035
22.83,0.869,4.0,0.9912
91.31,1.0555,240.0,1.0019
167.4,3.8448,210.0,1.2115
104.9,1.3042,43000.0,1.0026
104.86,3.4847,46000.0,1.1664
10.0,1.0399,14.0,0.9753
29.96,0.8939,7000.0,0.9918
22.47,0.9231,23000.0,0.992
89.88,1.6677,7000.0,1.0441
22.83,1.0445,11000.0,0.9793
89.99,3.6781,460000.0,1.1251
68.48,1.0781,2400.0,0.981
22.83,0.9676,4.0,0.9831
15.22,0.8041,2400.0,0.996
60.87,1.4856,2100.0,1.0339
60.87,2.0056,43000.0,0.9886
60.87,1.7482,1500.0,1.0137
20.3,1.1778,93.0,1.013
22.66,1.1481,9.0,1.0108
19.52,1.0034,23.0,1.0008
23.32,1.2233,3.0,1.0161
37.44,1.7549,3.0,1.053
37.92,1.8015,7.0,1.0562
34.56,1.8461,9.0,1.0595
31.68,1.7562,15.0,1.0533
23.04,1.2642,15.0,1.019
23.52,1.2085,3.0,1.015
29.76,1.2911,3.0,1.0206
23.04,1.224,3.0,1.0161
22.85,1.1955,4.0,1.0141
19.52,1.2179,3.0,1.0158
21.9,1.1572,3.0,1.0115
20.01,1.294,39.0,1.0212
22.45,1.3482,15.0,1.0249
26.35,1.4744,20.0,1.0336
27.61,1.3179,9.0,1.0226
29.51,1.5587,23.0,1.0394
73.2,2.6764,43.0,1.1165
28.79,1.5036,43.0,1.0356
20.3,1.1856,7.0,1.0135
21.71,1.1429,4.0,1.0105
25.02,1.3482,43.0,1.0248
23.13,1.3348,460.0,1.0239
25.49,1.3638,43.0,1.0259
22.18,1.1858,3.0,1.0135
55.22,2.5058,1100.0,1.105
87.1898,1.8785,54821.3176,1.0526
87.245,1.8781,54874.4477,1.0525
87.1806,1.8785,54817.7549,1.0526
87.245,1.8781,54874.4477,1.0525
87.1807,1.8785,54817.2102,1.0526
87.1768,1.8786,54824.3223,1.0526
87.1782,1.8786,54906.9785,1.0526
87.2107,1.8783,54802.8048,1.0526
49.95,1.822,93.0,1.0572
19.36,1.2257,93.0,1.0164
37.58,1.6125,1100.0,1.0428
62.46,1.0,23.0,1.0
75.64,2.8927,75.0,1.1316
18.18,1.1338,15.0,1.01
25.7,1.0,1100.0,1.0
20.33,1.1816,4.0,1.0133
26.62,1.2705,43.0,1.0193
19.36,1.1281,20.0,1.0095
24.54,1.3095,75.0,1.0221
29.26,1.4819,21.0,1.0341
18.41,1.2126,9.0,1.0155
17.94,1.1225,23.0,1.0092
10.0,0.9912,57631.8522,0.9925
10.0,0.9912,57643.8467,0.9925
10.0,0.9912,57636.65,0.9925
10.0,0.9912,57637.8495,0.9925
10.0,0.9972,57510.6354,0.9929
76.42,1.278,63987.4614,1.0095
87.9156,1.8731,54470.6808,1.0522
87.9148,1.8731,54478.4608,1.0522
87.9129,1.8731,54497.9108,1.0522
87.9156,1.8731,54470.6808,1.0522
87.8913,1.8733,54716.5285,1.0522
87.9161,1.8731,54465.2348,1.0522
10.0,1.6001,45815.6926,1.0368
10.0,1.6001,45815.6926,1.0368
10.0,1.6334,77787.659,1.0392
87.9159,1.8731,54467.9578,1.0522
87.9162,1.8731,54464.8458,1.0522
16.1,1.0379,57840.0324,0.9955
361.76,1.6084,85146.2938,1.017
87.9165,1.8731,54461.8894,1.0522
859.37,11.76,24000.0,1.0
87.2108,1.8783,54802.3379,1.0526
68.29,1.1894,90.0,1.0122
14.21,1.0043,183.0,1.001
71.63,0.9388,210.0,0.9944
87.1935,1.8784,54816.1896,1.0526
33.29,0.8818,430.0,0.9917
87.1974,1.8784,54808.8441,1.0526
87.0885,1.8795,55750.575,1.0527
87.1507,1.8788,54831.6156,1.0526
1181.6,24.39,24000.0,1.79
87.2208,1.8782,54797.4583,1.0526
87.1498,1.8788,54840.447,1.0526
87.2776,1.8778,54769.8071,1.0525
87.1598,1.8787,54835.5674,1.0526
87.1854,1.8788,55703.4053,1.0526
87.1605,1.8787,54861.1742,1.0526
87.2342,1.8781,54790.9521,1.0526
75.79,1.4095,24000.0,1.0243
87.2108,1.8783,54802.3379,1.0526
87.1573,1.8787,54828.3626,1.0526
87.2007,1.8784,54834.0834,1.0526
87.1865,1.8785,54822.5551,1.0526
10.0,1.0,691.0,0.9806
19.54,0.8652,3.0,0.991
10.0,0.8541,3.0,0.9906
27.88,1.3782,3.0,1.0268
10.0,0.8542,3.0,0.9906
59.96,1.0581,24000.0,1.0001
87.9165,1.8731,54461.8505,1.0522
10.0,1.0061,57937.3932,0.9935
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
10.0,1.0,65605.0026,1.0
87.2837,1.8778,54772.2731,1.0525
88.0593,1.872,54389.975,1.0521
94.132,1.8264,51439.8121,1.049
87.2809,1.8778,54768.1806,1.0525
87.2541,1.878,54781.971,1.0525
87.2074,1.8783,54804.7426,1.0526
58.33,0.9302,2400.0,0.994
34.0,0.9161,2400.0,0.9938
87.2291,1.8782,54810.3582,1.0526
87.3586,1.8772,54819.1453,1.0525
87.2283,1.8782,54882.5804,1.0526
87.3018,1.8777,54846.7965,1.0525
87.3218,1.8775,54837.0373,1.0525
87.2985,1.8777,54848.4231,1.0525
87.8321,1.8737,54500.424,1.0522
88.1962,1.8709,54323.1118,1.0521
87.4847,1.8763,54669.7398,1.0524
88.0859,1.8718,54377.7407,1.0521
87.7453,1.8743,54542.0916,1.0523
87.3107,1.8776,54757.0432,1.0525
87.5782,1.8756,54624.1967,1.0524
87.8254,1.8737,54503.8327,1.0523
87.8322,1.8737,54499.8405,1.0522
87.7854,1.874,54522.5731,1.0523
87.7987,1.8739,54516.845,1.0523
16.41,0.8673,2400.0,0.991
90.1105,1.8566,53390.5015,1.0511
87.2408,1.8781,54788.3605,1.0525
89.1417,1.8638,53862.198,1.0516
88.674,1.8673,54090.6917,1.0518
84.83,1.016,28.0,0.9994
80.79,0.9361,15.0,0.9939
65.07,0.9231,2400.0,0.9932
82.07,0.9428,2400.0,0.9941
69.85,0.9231,43.0,0.9934
50.65,0.943,2400.0,0.9951
28.1,0.8776,1100.0,0.9915
71.93,1.0036,2400.0,0.9987
87.9324,1.8729,54451.0443,1.0522
13.67,0.8595,1100.0,0.9907
10.0,0.8595,2400.0,0.9907
20.15,0.8966,2400.0,0.9929
34.0,1.0943,60472.2932,0.9985
45.57,0.9576,2400.0,0.9963
87.2976,1.8777,54760.826,1.0525
64.7908,1.0,42887.6559,1.0
87.5273,1.876,54688.8687,1.0524
87.4905,1.8762,54674.929,1.0524
87.8254,1.8737,54503.8327,1.0523
87.6717,1.8749,54579.4316,1.0523
87.5849,1.8755,54620.8658,1.0524
87.8519,1.8735,54493.5437,1.0522
88.1991,1.8709,54326.6012,1.0521
87.5176,1.876,54658.4153,1.0524
88.3465,1.8698,54250.8706,1.052
87.2208,1.8782,54797.4583,1.0526
87.8037,1.8739,54530.5934,1.0523
87.3645,1.8772,54727.5171,1.0525
87.7988,1.8739,54516.1059,1.0523
87.478,1.8763,54672.2148,1.0524
87.2141,1.8783,54800.7114,1.0526
87.7253,1.8745,54551.8508,1.0523
87.8054,1.8739,54512.8528,1.0523
87.1907,1.8785,54812.0972,1.0526
87.2242,1.8782,54795.8318,1.0526
87.3018,1.8777,54846.7965,1.0525
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
85.4603,1.8991,79314.6654,1.0542
138.5486,2.9539,94485.5698,1.0736
10.0,0.948,3.0,0.9972
135.0323,2.884,93480.7177,1.0723
55.4226,1.3023,70730.867,1.0432
135.0323,2.884,93480.7177,1.0723
130.5314,2.7946,92194.5071,1.0706
120.545,2.5962,89340.7272,1.067
13.5,0.8587,228.0,0.9908
156.14,1.8217,121344.0,1.0379
21.905,1.0578,12287.5,1.0029
14.71,1.1075,12252.5,1.0067
128.4216,2.7527,91591.5959,1.0699
45.155,1.0983,67796.6989,1.0395
108.3082,2.3531,85843.842,1.0625
25.79,1.3932,1842.0,1.0277
27.46,1.2364,19863.0,1.0143
24.96,0.9286,97.0,0.9953
14.21,1.1994,100.0,1.0148
28.98,0.876,41.0,0.9915
43.13,0.8921,10.0,0.9921
29.81,0.8768,31.0,0.9915
17.39,0.8624,75.0,0.9909
23.18,0.8692,3.0,0.9912
24.01,0.8697,3.0,0.9912
18.22,0.863,3.0,0.9909
29.81,0.881,1956.0,0.9916
22.36,0.8683,63.0,0.9912
21.53,0.867,3.0,0.9911
31.0,0.8777,3.0,0.9915
28.98,0.876,10.0,0.9915
10.76,0.8545,3.0,0.9906
26.5,0.873,3.0,0.9914
21.53,0.8673,3.0,0.9911
10.0,0.8518,3.0,0.9906
22.36,0.8678,3.0,0.9911
11.65,0.9213,3.0,0.9954
109.4334,2.3754,86165.3947,1.0629
20.8,0.8644,10.0,0.9911
14.98,1.2008,3270.0,1.0145
19.97,1.3574,27550.0,1.0
63.5805,1.4644,73062.1238,1.0462
33.6214,0.8692,64500.7842,1.0353
10.0,0.9356,100.0,0.9974
10.0,0.948,100.0,0.9976
24.13,0.8683,3.0,0.9912
31.08,0.8781,3.0,0.9916
56.38,0.9075,3.0,0.9928
24.84,0.8713,86.0,0.9913
14.9,0.8593,3.0,0.9908
15.81,0.8588,3.0,0.9909
44.51,0.894,52.0,0.9922
31.85,0.8791,3.0,0.9916
24.01,0.8702,3.0,0.9912
21.53,0.8671,3.0,0.9911
26.5,0.873,3.0,0.9914
33.74,0.8805,3.0,0.9917
15.73,0.8601,3.0,0.9908
11.08,0.8548,3.0,0.9906
87.3064,1.8776,54774.023,1.0525
10.0,1.0047,230.0,1.0013
38.95,1.429,557.0,1.0299
46.31,0.976,63.0,0.9979
49.03,1.5008,4884.0,1.0341
48.69,1.5497,52.0,1.0382
10.0,0.923,3.0,0.9954
10.0,1.0068,3.0,1.0013
10.0,1.0122,3.0,1.0017
87.1319,1.879,55021.5099,1.0526
