DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
41.21,1.0,30.0,1.0
39.13,1.0,11000.0,1.0
24.54,1.0,2100.0,1.0
26.21,1.0,3.0,1.0
29.96,1.0,3.0,1.0
27.04,1.0,90.0,1.0
28.29,1.0,40.0,1.0
29.54,1.0,90.0,1.0
16.63,1.0,40.0,1.0
19.96,1.0,90.0,1.0
18.29,1.0,230.0,1.0
29.96,1.0,2400.0,1.0
32.04,1.0,3.0,1.0
34.54,1.0,90.0,1.0
28.71,1.0,430.0,1.0
29.54,1.0,230.0,1.0
43.29,1.0,24000.0,1.0
42.03,1.0,199.0,1.0
18.39,1.0,12033.0,1.0
56.31,1.0,8200.0,1.0
53.23,1.0,19040.0,1.0
63.23,1.0,10860.0,1.0
26.75,1.0,193290.0,1.0
68.87,1.0,15531.0,1.0
48.62,1.0,9600.0,1.0
72.62,1.0,64880.0,1.0
48.51,1.0,24196.0,1.0
37.33,1.0,2187.0,1.0
21.74,1.0,373.0,1.0
110.15,1.0,141360.0,1.0
19.23,1.0,1600.0,1.0
64.77,1.0,2560.0,1.0
19.23,1.0,2690.0,1.0
10.0,1.0,4080.0,1.0
10.0,1.0,813.0,1.0
10.0,1.0,63.0,1.0
41.44,1.0,8664.0,1.0
51.51,1.0,6131.0,1.0
21.84,1.0,24196.0,1.0
35.18,1.0,14136.0,1.0
111.38,1.0,14210.0,1.0
56.72,1.0,57600.0,1.0
10.0,1.0,51.0,1.0
74.0,1.0,241960.0,1.0
55.95,1.0,24196.0,1.0
23.74,1.0,24196.0,1.0
22.9,1.0,24196.0,1.0
11.87,1.0,24196.0,1.0
10.18,1.0,1250.0,1.0
12.72,1.0,512.0,1.0
55.62,1.0,15531.0,1.0
10.0,1.0,216.0,1.0
10.0,1.0,160.0,1.0
10.0,1.0,131.0,1.0
10.0,1.0,119.0,1.0
10.0,1.0,278.0,1.0
10.0,1.0,489.0,1.0
36.21,1.0,62.0,1.0
10.0,1.0,41.0,1.0
10.0,1.0,31.0,1.0
10.0,1.0,63.0,1.0
13.44,1.0,1550.0,1.0
14.28,1.0,2500.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,41.0,1.0
12.6,1.0,171.0,1.0
10.0,1.0,31.0,1.0
10.0,1.0,41.0,1.0
10.0,1.0,609.0,1.0
13.44,1.0,987.0,1.0
10.0,1.0,17260.0,1.0
10.0,1.0,2400.0,1.0
16.8,1.0,6867.0,1.0
10.0,1.0,5172.0,1.0
13.44,1.0,3076.0,1.0
20.16,1.0,315.0,1.0
10.0,1.0,1029.0,1.0
11.65,1.0,8690.0,1.0
10.0,1.0,2809.0,1.0
10.0,1.0,6330.0,1.0
10.0,1.0,160.0,1.0
16.8,1.0,10710.0,1.0
29.4,1.0,17329.0,1.0
10.92,1.0,10462.0,1.0
10.0,1.0,226.0,1.0
10.0,1.0,216.0,1.0
12.6,1.0,262.0,1.0
16.8,1.0,100.0,1.0
12.6,1.0,750.0,1.0
13.44,1.0,520.0,1.0
18.48,1.0,7890.0,1.0
10.0,1.0,298.0,1.0
95.79,1.0,2100.0,1.0
259.37,28.57,24000.0,1.19
382.23,90.91,24000.0,1.77
711.44,12.82,24000.0,1.63
790.8,25.0,24000.0,1.86
1284.46,37.04,24000.0,1.27
822.23,8.13,24000.0,2.66
133.29,1.0,1500.0,1.0
1027.31,25.64,24000.0,2.75
590.8,20.0,24000.0,1.28
202.23,8.2,24000.0,1.0
500.03,1.38,930.0,5.38
167.94,1.0,110.0,1.0
89.13,1.0,24000.0,1.0
272.635,10.31,2100.0,1.0
31.63,1.0,2400.0,1.0
38.71,1.0,4600.0,1.0
39.96,1.0,2100.0,1.0
